assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
0,0,0,0,0.0,0,8380,42,19,0,0.0,427,0.0,1360,0,0,0,0,0,1,2006/07,45,0.0,44,4
0,0,0,0,0.0,0,8380,43,2,0,0.0,1239,0.0,199,0,0,0,0,0,2,2007/08,45,0.0,8,0
0,3,0,0,0.0,0,8380,45,19,0,0.0,1912,0.0,1415,0,0,0,0,0,3,2008/09,45,0.0,47,3
0,14,0,0,0.0,0,8380,49,31,1,0.0,2009,0.0,2639,1,0,0,0,0,4,2009/10,45,0.0,114,3
0,14,0,7,0.0,0,8380,58,45,3,0.0,2676,0.0,2854,0,0,0,0,0,5,2010/11,60,0.0,104,5
0,12,0,7,0.0,363,8380,53,41,1,0.0,3392,0.0,2780,0,0,0,0,0,6,2011/12,55,0.0,87,7
2,13,0,9,0.0,332,8380,46,35,0,0.0,4071,0.0,2492,1,0,0,0,0,7,2012/13,50,0.0,90,9
0,8,108,9,0.0,231,8380,40,25,1,0.0,4915,0.0,1898,0,0,0,0,0,8,2013/14,45,0.0,80,6
0,3,314,5,0.0,229,8380,44,23,0,0.0,5611,0.0,1881,1,0,0,1,0,9,2014/15,45,0.0,54,5
0,3,304,6,0.0,217,8380,43,14,0,0.0,6323,0.0,1440,0,0,0,1,0,10,2015/16,45,0.0,52,3
0,7,364,6,45.4,0,8380,42,29,2,71.6,7039,501.0,1655,0,0,0,0,0,11,2016/17,45,169.0,69,3
