assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
0,1,0,0,0.0,0,11334,64,9,0,0.0,115,0.0,1714,0,0,0,0,58,1,2006/07,65,0.0,98,1
0,2,0,0,0.0,0,11334,65,17,0,0.0,807,0.0,2313,0,0,0,0,60,2,2007/08,65,0.0,120,0
0,7,0,0,0.0,0,11334,60,24,0,0.0,1426,0.0,3150,0,0,1,0,87,3,2008/09,60,0.0,171,0
1,0,0,0,0.0,0,11334,62,26,0,0.0,2156,0.0,3020,1,0,1,1,66,4,2009/10,65,0.0,144,0
1,2,0,15,0.0,0,11334,67,33,0,0.0,2829,0.0,3420,0,0,1,0,98,5,2010/11,65,0.0,158,0
0,7,0,10,0.0,399,11334,68,39,0,0.0,3319,0.0,3060,0,0,0,0,94,6,2011/12,70,0.0,127,0
0,2,0,14,0.0,502,11334,64,36,0,0.0,3991,0.0,3195,0,0,0,0,126,7,2012/13,65,0.0,144,2
0,1,163,16,0.0,417,11334,62,24,0,0.0,4699,0.0,3060,0,0,0,0,82,8,2013/14,65,0.0,146,0
0,0,129,5,0.0,103,11334,54,2,0,0.0,5389,0.0,607,0,0,0,0,16,9,2014/15,60,0.0,38,0
0,15,705,16,0.0,409,11334,59,31,0,0.0,6097,0.0,3060,0,0,0,0,101,10,2015/16,55,0.0,159,0
0,2,660,12,0.1,0,11334,54,37,0,82.0,6819,819.8,3097,1,0,0,0,115,11,2016/17,55,0.0,134,2
0,7,627,11,0.0,0,11334,53,48,0,71.9,7502,722.4,3039,0,0,1,0,90,12,2017/18,55,0.0,124,1
