name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Raheem Sterling,MID,Man City,8.0,0,0,-9,0,0.3,276,178,0,0,2.4,0.0,2021-01-13T18:00:00Z,8,3,0,1,0,0,18,0,382374,0,1,26.0,-1,22473,80506,58033,114,True,0
Juan Mata,MID,Man Utd,0.7,0,0,0,0,0.0,290,379,0,0,0.0,0.0,2021-01-12T20:15:00Z,0,4,0,0,0,0,18,0,10923,1,0,0.0,0,-259,253,512,58,False,0
Aaron Connolly,FWD,Brighton,0.0,0,0,0,0,0.0,78,178,0,0,0.0,0.0,2021-01-13T18:00:00Z,0,12,0,0,0,0,18,0,25820,0,1,0.0,0,-2045,1228,3273,52,False,0
Oliver Norwood,MID,Sheffield Utd,0.4,0,0,13,1,8.3,349,174,0,0,1.8,10.0,2021-01-12T18:00:00Z,90,14,0,0,0,0,18,0,12933,0,1,0.0,3,-19,759,778,46,True,0
Daniel Langley,GK,Newcastle,-0.5,0,0,0,0,0.0,606,174,0,0,0.0,0.0,2021-01-12T18:00:00Z,0,15,0,0,0,0,18,0,27086,0,1,0.0,0,1240,2131,891,40,False,0
Wilfried Zaha,MID,Crystal Palace,1.7,0,0,6,1,2.9,141,169,0,0,4.0,5.4,2021-01-14T20:00:00Z,90,1,0,0,0,0,18,0,1566937,0,0,32.0,3,-105143,83550,188693,74,False,0
Bailey Peacock-Farrell,GK,Burnley,-1.5,0,0,0,0,0.0,99,379,0,0,0.0,0.0,2021-01-12T20:15:00Z,0,13,0,0,0,0,18,0,131375,1,0,0.0,0,-3281,3814,7095,40,True,0
Ryan Fraser,MID,Newcastle,0.0,0,0,-7,0,17.0,507,174,1,0,1.3,0.0,2021-01-12T18:00:00Z,44,15,0,0,0,1,18,0,13125,0,1,0.0,-2,-458,62,520,56,False,0
Anthony Driscoll-Glennon,DEF,Burnley,-2.0,0,0,0,0,0.0,536,379,0,0,0.0,0.0,2021-01-12T20:15:00Z,0,13,0,0,0,0,18,0,9298,1,0,0.0,0,231,734,503,40,True,0
Jean Michaël Seri,MID,Fulham,0.0,0,0,0,0,0.0,189,157,0,0,0.0,0.0,2021-01-13T20:15:00Z,0,17,0,0,0,0,18,0,2430,1,1,0.0,0,-55,16,71,46,False,0
Raúl Jiménez,FWD,Wolves,0.0,0,0,0,0,0.0,460,176,0,0,0.0,0.0,2021-01-12T20:15:00Z,0,7,0,0,0,0,18,0,397826,2,1,0.0,0,-10999,220,11219,82,True,0
Oskar Buur,DEF,Wolves,0.5,0,0,0,0,0.0,467,176,0,0,0.0,0.0,2021-01-12T20:15:00Z,0,7,0,0,0,0,18,0,233939,2,1,0.0,0,-1429,12945,14374,39,True,0
Kieran Tierney,DEF,Arsenal,3.9,0,0,0,0,0.0,17,169,0,0,0.0,0.0,2021-01-14T20:00:00Z,0,6,0,0,0,0,18,0,1461705,0,0,0.0,0,380624,413810,33186,54,True,0
José Diogo Dalot Teixeira,DEF,Man Utd,0.0,0,0,0,0,0.0,314,379,0,0,0.0,0.0,2021-01-12T20:15:00Z,0,4,0,0,0,0,18,0,2245,1,0,0.0,0,-29,5,34,48,False,0
Max Lowe,DEF,Sheffield Utd,-0.5,0,0,0,0,0.0,511,174,0,0,0.0,0.0,2021-01-12T18:00:00Z,0,14,0,0,0,0,18,0,4349,0,1,0.0,0,-28,139,167,43,True,0
Brandon Williams,DEF,Man Utd,0.0,0,0,0,0,0.0,318,379,0,0,0.0,0.0,2021-01-12T20:15:00Z,0,4,0,0,0,0,18,0,49143,1,0,0.0,0,-1648,651,2299,42,False,0
Neal Maupay,FWD,Brighton,3.0,0,0,1,0,0.0,68,178,0,0,0.8,0.0,2021-01-13T18:00:00Z,22,12,0,0,0,0,18,0,200504,0,1,8.0,1,20158,35789,15631,61,False,0
Moise Kean,FWD,Everton,0.0,0,0,0,0,0.0,169,176,0,0,0.0,0.0,2021-01-12T20:15:00Z,0,20,0,0,0,0,18,0,15345,2,1,0.0,0,-139,12,151,57,False,0
Aymeric Laporte,DEF,Man City,0.0,0,0,0,0,0.0,280,178,0,0,0.0,0.0,2021-01-13T18:00:00Z,0,3,0,0,0,0,18,0,177767,0,1,0.0,0,-12568,2980,15548,60,True,0
Zack Steffen,GK,Man City,2.6,0,0,0,0,0.0,538,178,0,0,0.0,0.0,2021-01-13T18:00:00Z,0,3,0,0,0,0,18,0,51256,0,1,0.0,0,12940,20183,7243,44,True,0
Fabricio Agosto Ramírez,GK,Fulham,-2.0,0,0,0,0,0.0,171,157,0,0,0.0,0.0,2021-01-13T20:15:00Z,0,17,0,0,0,0,18,0,131582,1,1,0.0,0,-3269,2051,5320,40,False,0
Bernardo Mota Veiga de Carvalho e Silva,MID,Man City,5.4,0,0,19,1,29.7,281,178,0,0,5.5,13.2,2021-01-13T18:00:00Z,90,3,0,0,0,0,18,0,59225,0,1,12.0,3,7887,11480,3593,74,True,0
William Saliba,DEF,Arsenal,0.0,0,0,0,0,0.0,27,169,0,0,0.0,0.0,2021-01-14T20:00:00Z,0,6,0,0,0,0,18,0,46760,0,0,0.0,0,-3612,567,4179,40,True,0
Matt Ritchie,MID,Newcastle,1.5,0,0,3,0,0.9,322,174,0,0,0.2,0.6,2021-01-12T18:00:00Z,16,15,0,0,0,0,18,0,6720,0,1,0.0,1,846,1440,594,49,False,0
Gary Cahill,DEF,Crystal Palace,-1.2,0,0,0,0,0.0,125,169,0,0,0.0,0.0,2021-01-14T20:00:00Z,0,1,0,0,0,0,18,0,7256,0,0,0.0,0,-714,68,782,45,False,0
Joel Ward,DEF,Crystal Palace,1.2,0,0,22,1,10.8,134,169,0,0,2.3,12.6,2021-01-14T20:00:00Z,90,1,0,0,0,0,18,0,73610,0,0,0.0,6,5374,9719,4345,43,False,0
Karl Darlow,GK,Newcastle,4.1,0,0,12,0,0.0,325,174,1,0,2.5,25.4,2021-01-12T18:00:00Z,90,15,0,0,0,0,18,3,553863,0,1,0.0,2,79410,101820,22410,50,False,1
Toby Alderweireld,DEF,Spurs,2.9,0,0,0,0,0.0,386,157,0,0,0.0,0.0,2021-01-13T20:15:00Z,0,8,0,0,0,0,18,0,233175,1,1,0.0,0,36389,45607,9218,54,True,0
Teddy Jenks,MID,Brighton,0.0,0,0,0,0,0.0,631,178,0,0,0.0,0.0,2021-01-13T18:00:00Z,0,12,0,0,0,0,18,0,0,0,1,0.0,0,0,0,0,45,False,0
Joe Bryan,DEF,Fulham,-1.6,0,0,0,0,0.0,182,157,0,0,0.0,0.0,2021-01-13T20:15:00Z,0,17,0,0,0,0,18,0,24858,1,1,0.0,0,-703,227,930,46,False,0
