id,xP
1,-0.5
2,-0.5
3,1.2
4,1.1
5,-0.5
6,2.2
7,0.0
8,2.2
9,0.8
10,0.0
11,3.8
13,0.0
14,-0.5
15,0.2
16,-0.2
17,0.6
18,2.5
19,0.0
20,-0.5
21,-0.4
22,0.5
23,-0.5
24,2.8
25,0.0
26,0.0
27,-0.5
478,1.5
494,0.8
501,1.2
526,0.8
527,-0.5
547,-0.5
567,1.0
12,7.3
28,0.0
29,-0.3
30,-0.5
31,-0.5
32,-0.5
33,3.7
34,0.0
35,0.0
36,-0.5
37,9.0
38,6.3
39,-0.4
40,3.0
41,7.0
42,3.7
43,0.0
44,-0.3
45,-0.5
46,6.5
47,-0.5
48,0.0
49,0.0
50,-0.3
51,0.0
52,1.7
106,4.3
496,4.0
514,5.7
540,0.5
554,-0.2
53,0.0
54,1.5
57,0.8
58,0.0
59,0.0
60,0.0
61,0.8
62,1.0
63,0.0
64,0.0
65,4.8
66,2.2
67,0.0
68,8.0
69,3.5
70,2.0
71,0.2
72,0.0
73,0.0
74,2.0
75,0.0
76,2.5
77,1.9
78,3.0
79,1.5
80,2.2
503,0.0
528,0.0
550,0.0
574,1.3
588,1.6
55,1.5
81,2.0
82,0.7
83,1.5
84,0.0
85,3.0
86,0.8
87,1.3
88,0.0
89,4.0
90,1.1
91,3.5
92,0.0
93,1.5
94,0.0
95,1.0
96,4.3
97,3.3
98,2.7
99,0.4
100,3.3
519,2.5
520,0.5
535,0.5
536,0.5
551,0.5
583,1.5
101,0.7
102,3.0
103,0.7
104,0.5
105,5.5
107,1.5
109,0.5
110,4.3
111,0.5
112,1.5
113,2.5
114,0.7
116,0.0
117,6.0
118,3.7
119,1.3
120,4.5
121,0.5
122,2.7
123,1.3
124,0.0
232,5.7
490,0.0
500,5.3
548,0.0
108,2.0
125,0.7
126,0.0
127,0.3
128,1.0
129,0.0
130,1.3
131,0.0
132,0.7
133,4.3
134,0.7
135,0.0
136,0.0
137,3.0
138,0.7
139,0.0
140,1.3
141,3.0
142,0.8
143,0.0
144,1.3
145,0.0
146,0.7
147,0.0
486,0.0
489,1.3
522,0.0
534,0.0
577,1.7
578,1.0
586,1.9
149,-0.2
150,1.8
151,-0.5
152,2.2
153,0.0
154,-0.5
155,4.2
156,3.2
157,1.5
158,0.5
159,1.8
160,0.0
161,0.0
162,3.2
163,0.5
164,5.5
165,0.0
166,2.2
167,-0.5
168,-0.5
169,0.0
170,0.0
502,0.5
508,7.5
512,2.5
559,-0.5
566,1.7
573,1.4
115,0.3
171,-0.5
172,-0.5
173,-0.2
174,-0.5
175,1.2
176,1.2
177,0.0
178,-0.5
179,0.0
180,0.2
181,0.5
182,0.2
183,0.0
184,0.8
185,0.0
186,-0.5
187,1.2
188,-0.5
189,-0.5
190,-0.2
191,1.2
192,0.0
373,0.0
484,0.8
493,-0.2
516,1.8
517,0.0
525,-0.5
557,5.0
562,1.5
571,0.0
572,1.2
585,1.2
216,0.5
217,2.7
218,0.7
219,1.0
220,0.0
221,0.7
222,0.0
223,0.5
224,4.3
225,2.8
226,0.0
227,0.0
228,3.3
229,1.7
230,0.5
231,3.5
233,1.5
234,1.0
235,5.3
236,0.0
237,0.0
238,0.0
239,3.3
240,0.5
498,4.3
518,3.0
541,0.8
561,1.5
579,1.8
193,-0.2
194,-0.4
195,1.2
196,0.0
197,2.8
198,1.8
199,0.0
200,2.5
201,0.2
202,3.2
203,2.5
204,1.2
205,1.8
206,0.2
207,-0.5
208,0.0
209,0.5
210,-0.5
211,0.2
212,0.0
213,4.2
214,-0.2
215,-0.5
491,2.8
492,3.2
532,-0.5
533,0.0
549,0.0
570,1.4
241,1.3
242,0.2
243,2.5
244,1.3
245,1.0
246,0.5
247,0.5
248,0.0
249,4.0
250,2.5
251,5.8
252,0.0
253,2.5
254,7.5
255,5.7
256,0.5
257,0.0
258,1.3
259,4.0
260,1.3
261,0.0
263,0.7
264,0.5
265,0.0
468,2.7
531,1.0
560,0.5
266,1.7
267,0.0
268,0.5
269,0.0
270,3.3
271,0.5
272,0.0
273,1.0
274,1.0
275,4.7
276,5.5
277,2.5
278,3.7
279,3.7
280,1.0
281,1.5
282,0.0
283,0.0
284,5.3
285,0.5
286,2.3
287,2.3
288,0.5
537,0.1
538,0.5
539,0.7
552,0.5
556,4.0
289,0.0
290,2.2
291,1.8
292,0.0
293,0.5
294,0.5
295,2.5
296,2.2
297,0.0
298,3.2
299,1.8
300,0.2
301,0.5
302,10.2
303,0.0
304,0.0
305,0.5
306,8.5
307,0.1
308,1.5
309,1.5
310,0.2
311,0.8
312,0.5
313,3.2
314,0.0
315,1.8
316,0.0
317,0.0
318,0.5
319,0.5
495,1.5
568,3.0
569,0.0
575,2.4
320,0.7
321,1.0
322,0.0
323,0.7
324,-0.1
325,4.5
326,0.0
327,0.0
328,0.0
329,0.0
330,-0.5
331,-0.1
332,0.5
333,0.5
334,-0.3
335,-0.4
336,1.0
337,-0.5
338,3.3
339,0.5
340,0.7
341,0.0
342,0.0
480,-0.3
485,1.5
487,-0.1
488,-0.5
497,-0.3
506,6.5
507,1.0
513,-0.3
262,0.7
343,2.7
344,2.8
345,2.7
346,1.0
347,2.3
348,0.5
349,1.3
350,0.5
351,2.7
352,2.5
353,0.3
354,0.0
355,1.7
356,1.7
357,1.7
359,0.0
360,2.3
424,1.5
477,0.0
483,3.3
509,1.3
510,0.5
511,0.7
529,0.5
580,1.5
148,1.0
361,0.3
362,3.0
363,3.5
364,3.3
365,0.3
366,6.7
367,-0.7
368,0.6
369,4.5
370,2.0
371,0.0
372,0.0
374,0.0
375,3.3
376,3.3
377,4.3
378,-0.5
379,-0.3
380,-0.5
381,-0.3
382,0.0
479,-0.1
523,-0.5
524,0.3
565,0.6
383,2.3
384,0.5
385,1.5
386,0.7
387,1.7
388,15.0
389,3.7
390,14.5
391,0.8
392,3.7
393,0.5
394,0.7
395,2.3
396,3.3
397,1.5
398,1.5
399,0.0
400,1.3
401,0.5
402,0.0
403,0.0
404,0.0
405,3.3
406,0.0
457,1.0
482,0.5
521,0.0
542,2.5
543,0.6
564,2.9
584,2.7
56,-0.5
358,2.2
407,-0.5
408,0.0
409,1.2
410,-0.5
411,-0.2
412,2.2
413,1.2
414,1.5
415,-0.5
416,0.0
417,4.5
418,2.5
419,0.2
420,0.0
421,-0.2
422,2.8
423,0.2
425,0.2
426,-0.5
446,1.8
481,2.8
499,-0.5
530,1.5
544,0.5
555,1.5
582,1.4
427,0.2
428,-0.2
429,-0.5
430,-0.5
431,4.5
432,3.5
433,0.0
434,0.0
435,8.5
436,-0.2
437,3.2
438,-0.2
439,1.2
440,0.0
441,1.5
442,5.5
443,5.8
444,0.0
445,7.8
447,0.0
448,2.2
449,2.8
450,7.2
451,-0.5
452,-0.2
558,4.0
576,1.2
587,1.6
453,0.5
454,2.3
455,4.5
456,0.0
458,4.3
459,3.5
460,4.5
461,4.5
462,0.0
463,0.0
464,3.0
465,2.0
466,2.3
467,0.5
469,3.3
470,5.7
471,0.0
472,0.5
473,0.0
474,4.3
475,0.0
476,0.5
504,1.0
505,0.8
515,0.7
545,1.2
546,4.8
553,0.5
563,2.7
581,1.6
