id,xP
1,-0.5
2,-0.4
3,0.2
4,4.2
5,-0.4
6,6.5
7,0.0
8,3.5
9,1.5
10,0.0
11,1.8
13,0.0
14,0.2
15,1.8
16,2.5
17,1.3
18,0.5
19,-0.5
20,-0.5
21,-0.5
22,2.8
23,0.0
24,0.2
25,-0.5
26,0.0
27,-0.5
478,5.5
494,5.2
501,2.5
526,1.2
527,-0.5
547,1.3
12,9.5
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,8.5
34,0.0
35,0.0
36,0.0
37,5.5
38,6.0
39,0.0
40,3.0
41,11.0
42,5.0
43,0.0
44,0.5
45,0.0
46,10.5
47,0.0
48,0.0
49,0.0
50,0.5
51,0.0
52,3.0
496,5.5
514,2.0
540,1.6
554,1.1
53,0.0
54,0.3
57,-0.3
58,0.0
59,-1.0
60,0.0
61,-0.7
62,1.0
63,0.0
64,0.0
65,3.3
66,1.7
67,-1.0
68,7.7
69,4.0
70,1.7
71,0.7
72,0.0
73,0.0
74,1.3
75,-1.0
76,0.0
77,2.0
78,2.7
79,1.3
80,-0.8
503,0.0
528,-1.0
550,0.1
55,0.7
81,0.0
82,0.0
83,-1.0
84,0.0
85,1.0
86,0.1
87,0.0
88,0.0
89,2.0
90,0.0
91,4.0
92,0.0
93,1.5
94,0.0
95,0.0
96,1.5
97,2.5
98,2.0
99,0.0
100,3.5
519,4.0
520,0.0
535,0.0
536,0.0
551,1.1
101,1.3
102,2.7
103,1.3
104,1.7
105,5.0
106,1.7
107,2.0
109,1.0
110,4.0
111,1.0
112,2.3
113,3.0
114,0.0
115,1.7
116,0.7
117,4.0
118,3.3
119,0.0
120,6.3
121,1.0
122,3.3
123,6.3
124,0.0
232,1.0
490,1.3
500,3.7
548,3.5
108,0.7
125,0.0
126,0.0
127,1.0
128,5.0
129,0.0
130,2.0
131,2.0
132,0.3
133,4.7
134,2.3
135,0.0
136,0.0
137,7.3
138,0.7
139,0.0
140,3.0
141,8.0
142,3.0
143,0.0
144,0.2
145,0.0
146,4.0
147,0.0
486,0.6
489,1.3
522,0.0
534,0.0
148,0.0
149,0.0
150,1.0
151,0.0
152,4.3
153,0.0
154,0.0
155,6.3
156,5.0
157,3.7
158,2.3
159,0.7
160,0.0
161,0.0
162,3.0
163,0.7
164,10.3
165,0.0
166,7.3
167,0.0
168,0.0
169,0.7
170,0.0
502,2.3
508,5.7
512,2.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.7
176,0.7
177,0.0
178,0.0
179,0.0
180,1.3
181,2.3
182,1.3
183,0.0
184,5.0
185,0.0
186,0.3
187,2.0
188,1.0
