name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Max Thompson,FWD,Burnley,0.0,0,0,0,0,0.0,591,376,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,15,0,0,0,0,38,0,9819,0,1,0.0,0,-9,263,272,45,False,0
Willy Boly,DEF,Wolves,-0.5,0,0,11,0,1.7,458,378,2,0,1.4,11.2,2021-05-23T15:00:00Z,90,13,0,0,0,0,38,0,93387,2,1,1.0,0,-82,375,457,54,True,1
Ciaran Clark,DEF,Newcastle,-0.5,0,0,0,0,0.0,324,371,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,8,0,0,0,0,38,0,13830,2,0,0.0,0,-695,617,1312,45,False,0
Luke Cundle,MID,Wolves,-0.5,0,0,0,0,0.0,614,378,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,13,0,0,0,0,38,0,1394,2,1,0.0,0,58,108,50,45,True,0
Matt Ritchie,MID,Newcastle,8.5,1,3,27,1,20.3,322,371,0,0,3.6,13.6,2021-05-23T15:00:00Z,90,8,0,0,0,0,38,0,8393,2,0,2.0,9,-45,873,918,49,False,0
Adrián San Miguel del Castillo,GK,Liverpool,0.5,0,0,0,0,0.0,245,374,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,6,0,0,0,0,38,0,28179,0,2,0.0,0,-134,250,384,42,True,0
Rhys Williams,DEF,Liverpool,6.5,0,0,17,1,0.4,594,374,0,0,3.3,2.4,2021-05-23T15:00:00Z,90,6,0,0,0,0,38,0,27995,0,2,30.0,6,7372,8596,1224,40,True,0
André-Frank Zambo Anguissa,MID,Fulham,1.5,0,0,10,0,5.0,191,371,1,0,1.1,2.0,2021-05-23T15:00:00Z,45,14,0,0,0,0,38,0,102838,2,0,4.0,1,-544,1824,2368,44,True,0
Jean Michaël Seri,MID,Fulham,0.0,0,0,0,0,0.0,189,371,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,14,0,0,0,0,38,0,2171,2,0,0.0,0,-5,0,5,46,True,0
Dara O'Shea,DEF,West Brom,-0.5,0,0,5,0,0.8,425,372,2,0,1.4,13.4,2021-05-23T15:00:00Z,59,10,0,0,0,0,38,0,13904,1,3,0.0,0,-250,110,360,42,False,0
Mason Greenwood,MID,Man Utd,0.5,0,0,0,0,0.0,315,378,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,20,0,0,0,0,38,0,878463,2,1,0.0,0,-41770,49624,91394,73,False,0
José Diogo Dalot Teixeira,DEF,Man Utd,0.0,0,0,0,0,0.0,314,378,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,20,0,0,0,0,38,0,2129,2,1,0.0,0,-2,0,2,48,False,0
Rúben Diogo da Silva Neves,MID,Wolves,1.5,0,0,9,0,18.5,466,378,2,0,4.8,20.4,2021-05-23T15:00:00Z,90,13,0,0,0,0,38,0,116548,2,1,9.0,2,-1263,1147,2410,51,True,0
Jamie Vardy,FWD,Leicester,13.0,0,3,50,0,1.6,224,373,4,2,13.5,71.8,2021-05-23T15:00:00Z,90,17,0,0,0,0,38,0,1442561,4,2,62.0,13,-13736,33778,47514,102,True,0
Oliver Casey,DEF,Leeds,0.5,0,0,0,0,0.0,215,372,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,18,0,0,0,0,38,0,85083,1,3,0.0,0,-184,2545,2729,38,True,0
Reece James,DEF,Chelsea,1.5,0,0,19,0,17.0,123,370,2,0,3.7,20.0,2021-05-23T15:00:00Z,90,2,0,0,0,0,38,0,568060,1,2,0.0,1,9511,17836,8325,51,False,0
Nathan Broadhead,MID,Everton,-1.0,0,0,0,0,0.0,680,375,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,12,0,0,0,0,38,0,189,0,5,0.0,0,17,31,14,45,False,0
Chris Smalling,DEF,Man Utd,0.0,0,0,0,0,0.0,292,378,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,20,0,0,0,0,38,0,6427,2,1,0.0,0,-2,0,2,49,False,0
Bailey Peacock-Farrell,GK,Burnley,0.0,0,0,0,0,0.0,99,376,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,15,0,0,0,0,38,0,92560,0,1,0.0,0,678,3085,2407,40,False,0
Nathan Aké,DEF,Man City,1.0,0,0,0,0,0.0,279,375,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,7,0,0,0,0,38,0,199988,0,5,0.0,0,-169,1645,1814,54,True,0
Branislav Ivanovic,DEF,West Brom,0.0,0,0,0,0,0.0,530,372,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,10,0,0,0,0,38,0,6750,1,3,0.0,0,212,342,130,44,False,0
Sam Johnstone,GK,West Brom,2.5,0,0,22,0,0.0,417,372,3,0,4.4,44.0,2021-05-23T15:00:00Z,90,10,0,0,0,0,38,6,244503,1,3,0.0,3,-431,7168,7599,46,False,0
Sead Kolasinac,DEF,Arsenal,0.0,0,0,0,0,0.0,14,369,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,3,0,0,0,0,38,0,8840,0,2,0.0,0,-10,0,10,48,True,0
Christian Walton,GK,Brighton,-0.5,0,0,0,0,0.0,503,369,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,1,0,0,0,0,38,0,86662,0,2,0.0,0,-867,227,1094,40,False,0
Charlie Cresswell,DEF,Leeds,0.5,0,0,0,0,0.0,620,372,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,18,0,0,0,0,38,0,7985,1,3,0.0,0,30,281,251,40,True,0
David Luiz Moreira Marinho,DEF,Arsenal,0.2,0,0,0,0,0.0,3,369,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,3,0,0,0,0,38,0,62154,0,2,0.0,0,-280,136,416,54,True,0
Jack Grealish,MID,Aston Villa,1.5,0,0,11,0,16.6,37,370,1,0,3.6,7.2,2021-05-23T15:00:00Z,90,5,0,0,0,0,38,0,1207596,1,2,12.0,2,20083,29151,9068,75,True,0
Kyle Walker,DEF,Man City,7.0,0,0,27,1,3.4,270,375,0,0,1.9,15.2,2021-05-23T15:00:00Z,90,7,0,0,0,0,38,0,404094,0,5,0.0,6,-1318,5049,6367,61,True,0
Felipe Anderson Pereira Gomes,MID,West Ham,0.0,0,0,0,0,0.0,440,377,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,16,0,0,0,0,38,0,8979,0,3,0.0,0,-9,0,9,61,True,0
Tanguy Ndombele,MID,Spurs,0.0,0,0,0,0,0.0,405,373,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,9,0,0,0,0,38,0,45748,4,2,0.0,0,-1745,227,1972,59,False,0
Mesut Özil,MID,Arsenal,0.0,0,0,0,0,0.0,1,369,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,3,0,0,0,0,38,0,41394,0,2,0.0,0,-23,0,23,67,True,0
Thomas McGill,GK,Brighton,-0.5,0,0,0,0,0.0,662,369,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,1,0,0,0,0,38,0,26355,0,2,0.0,0,-820,742,1562,39,False,0
Gylfi Sigurdsson,MID,Everton,-2.0,0,0,-6,0,10.4,150,375,3,0,4.6,6.4,2021-05-23T15:00:00Z,58,12,0,1,0,0,38,0,235196,0,5,29.0,-1,-41514,4720,46234,68,False,0
Tammy Abraham,FWD,Chelsea,0.5,0,0,0,0,0.0,118,370,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,2,0,0,0,0,38,0,162761,1,2,0.0,0,-413,537,950,71,False,0
Glenn Murray,FWD,Brighton,0.0,0,0,0,0,0.0,53,369,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,1,0,0,0,0,38,0,6339,0,2,0.0,0,-14,0,14,48,False,0
Serge Aurier,DEF,Spurs,0.0,0,0,0,0,0.0,389,373,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,9,0,0,0,0,38,0,126588,4,2,0.0,0,-5025,1086,6111,52,False,0
Yerry Mina,DEF,Everton,-1.0,0,0,0,0,0.0,162,375,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,12,0,0,0,0,38,0,138563,0,5,0.0,0,446,1185,739,55,False,0
Emerson Palmieri dos Santos,DEF,Chelsea,0.5,0,0,0,0,0.0,111,370,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,2,0,0,0,0,38,0,11482,1,2,0.0,0,-7,59,66,47,False,0
Yoshinori Muto,FWD,Newcastle,0.0,0,0,0,0,0.0,341,371,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,8,0,0,0,0,38,0,6841,2,0,0.0,0,-8,0,8,48,False,0
John Fleck,MID,Sheffield Utd,2.0,0,0,6,1,3.1,346,376,0,0,1.0,4.8,2021-05-23T15:00:00Z,90,4,0,0,0,0,38,0,9767,0,1,2.0,2,82,356,274,56,True,1
Timo Werner,FWD,Chelsea,1.5,0,0,8,0,42.2,117,370,2,0,8.0,8.2,2021-05-23T15:00:00Z,90,2,0,0,0,0,38,0,887391,1,2,30.0,1,26108,36561,10453,92,False,1
Axel Tuanzebe,DEF,Man Utd,2.5,0,0,12,0,0.0,307,378,1,0,2.8,27.6,2021-05-23T15:00:00Z,90,20,0,0,0,0,38,0,9183,2,1,0.0,2,1459,1778,319,41,False,0
Olivier Giroud,FWD,Chelsea,0.5,0,0,0,0,0.0,103,370,0,0,0.0,0.0,2021-05-23T15:00:00Z,0,2,0,0,0,0,38,0,94145,1,2,0.0,0,-399,766,1165,67,False,0
