name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Aaron Connolly,FWD,Brighton,2.7,0,0,7,0,0.3,78,32,3,0,0.7,3.0,2020-10-03T14:00:00Z,65,7,0,0,0,0,4,0,55125,2,4,4.0,2,-1311,10399,11710,55,False,0
Aaron Cresswell,DEF,West Ham,5.5,2,3,57,1,52.5,435,34,0,0,10.5,52.8,2020-10-04T11:00:00Z,90,9,0,0,0,0,4,0,61303,3,0,0.0,15,77,5241,5164,49,False,0
Aaron Mooy,MID,Brighton,0.0,0,0,0,0,0.0,60,32,0,0,0.0,0.0,2020-10-03T14:00:00Z,0,7,0,0,0,0,4,0,1121,2,4,0.0,0,-147,30,177,50,False,0
Aaron Ramsdale,GK,Sheffield Utd,1.7,0,0,13,0,0.0,483,29,2,0,2.1,18.6,2020-10-04T13:00:00Z,90,1,0,0,0,0,4,3,335363,1,2,2.0,2,-45840,3387,49227,50,False,0
Aaron Wan-Bissaka,DEF,Man Utd,0.0,0,0,13,0,3.1,313,35,6,0,3.2,27.0,2020-10-04T15:30:00Z,90,17,0,0,0,0,4,0,668279,6,1,2.0,-1,-106230,9167,115397,54,True,0
Abdoulaye Doucouré,MID,Everton,3.3,1,0,29,0,34.8,512,32,2,0,6.9,32.4,2020-10-03T14:00:00Z,90,3,0,0,0,0,4,0,119765,2,4,2.0,5,-14841,8995,23836,55,True,0
Aboubakar Kamara,MID,Fulham,0.5,0,0,0,0,0.8,190,38,0,0,3.0,4.2,2020-10-04T13:00:00Z,23,20,0,0,0,0,4,0,7527,0,1,25.0,1,-1097,455,1552,50,False,0
Adama Traoré,MID,Wolves,2.5,0,0,3,0,0.1,465,38,0,0,0.4,4.0,2020-10-04T13:00:00Z,8,8,0,0,0,0,4,0,1025920,0,1,0.0,1,-79097,66904,146001,65,True,0
Adam Forshaw,MID,Leeds,0.0,0,0,0,0,0.0,199,33,0,0,0.0,0.0,2020-10-03T16:30:00Z,0,12,0,0,0,0,4,0,836,1,1,0.0,0,-151,8,159,49,True,0
Adam Lallana,MID,Brighton,0.7,0,0,5,0,13.0,54,32,1,0,2.4,3.4,2020-10-03T14:00:00Z,24,7,0,0,0,0,4,0,42184,2,4,8.0,1,-5216,1748,6964,64,False,0
Adam Webster,DEF,Brighton,1.5,0,0,10,0,5.0,66,32,4,0,3.2,6.8,2020-10-03T14:00:00Z,90,7,0,0,0,0,4,0,163327,2,4,20.0,0,-10365,4263,14628,45,False,0
Ademola Lookman,MID,Fulham,1.0,0,0,9,0,12.8,557,38,0,0,2.6,11.2,2020-10-04T13:00:00Z,23,20,0,0,0,0,4,0,436,0,1,2.0,1,380,430,50,50,False,0
Adrien Silva,MID,Leicester,0.5,0,0,0,0,0.0,220,34,0,0,0.0,0.0,2020-10-04T11:00:00Z,0,19,0,0,0,0,4,0,41428,3,0,0.0,0,-3551,1501,5052,45,True,0
Adrián Bernabé,MID,Man City,0.4,0,0,0,0,0.0,537,33,0,0,0.0,0.0,2020-10-03T16:30:00Z,0,10,0,0,0,0,4,0,300,1,1,0.0,0,-62,48,110,45,False,0
Adrián San Miguel del Castillo,GK,Liverpool,1.5,0,0,14,0,0.0,245,30,7,0,2.3,23.0,2020-10-04T18:15:00Z,90,2,0,0,0,0,4,4,20094,2,7,0.0,0,-1092,528,1620,45,False,0
Ahmed El-Sayed Hegazy,DEF,West Brom,-0.5,0,0,0,0,0.0,414,37,0,0,0.0,0.0,2020-10-04T11:00:00Z,0,16,0,0,0,0,4,0,33733,0,2,0.0,0,-8177,234,8411,44,False,0
Ahmed El Mohamady,DEF,Aston Villa,-1.2,0,0,4,0,11.1,29,30,0,0,1.7,3.6,2020-10-04T18:15:00Z,10,11,0,0,0,0,4,0,27770,2,7,2.0,1,-3359,639,3998,45,True,0
Ainsley Maitland-Niles,DEF,Arsenal,2.5,0,0,2,0,0.0,15,29,0,0,0.4,4.0,2020-10-04T13:00:00Z,3,15,0,0,0,0,4,0,119317,1,2,0.0,1,-9240,4867,14107,50,True,0
Albian Ajeti,FWD,West Ham,0.0,0,0,0,0,0.0,447,34,0,0,0.0,0.0,2020-10-04T11:00:00Z,0,9,0,0,0,0,4,0,496,3,0,0.0,0,-64,48,112,55,False,0
Aleksandar Mitrović,FWD,Fulham,3.7,0,0,8,0,23.2,184,38,1,0,6.3,6.0,2020-10-04T13:00:00Z,90,20,0,0,0,0,4,0,1212856,0,1,34.0,2,-235871,50703,286574,60,False,0
Alexandre Lacazette,FWD,Arsenal,5.7,0,0,0,0,0.0,6,29,0,0,0.0,0.0,2020-10-04T13:00:00Z,0,15,0,0,0,0,4,0,395242,1,2,0.0,0,29347,65917,36570,85,True,0
Alexis Mac Allister,MID,Brighton,-0.5,0,0,0,0,0.0,80,32,0,0,0.0,0.0,2020-10-03T14:00:00Z,0,7,0,0,0,0,4,0,3108,2,4,0.0,0,-443,93,536,54,False,0
Alex Iwobi,MID,Everton,2.3,1,0,15,0,13.6,159,32,2,0,4.5,27.2,2020-10-03T14:00:00Z,65,3,0,0,0,0,4,0,10403,2,4,4.0,5,-750,608,1358,59,True,0
Alex McCarthy,GK,Southampton,4.7,0,2,28,1,0.0,363,37,0,0,2.0,20.0,2020-10-04T11:00:00Z,90,18,0,0,0,0,4,3,1331722,0,2,0.0,9,27560,80072,52512,45,True,0
Alex Oxlade-Chamberlain,MID,Liverpool,0.0,0,0,0,0,0.0,248,30,0,0,0.0,0.0,2020-10-04T18:15:00Z,0,2,0,0,0,0,4,0,2031,2,7,0.0,0,-315,57,372,64,False,0
Alfie Mawson,DEF,Fulham,0.0,0,0,0,0,0.0,185,38,0,0,0.0,0.0,2020-10-04T13:00:00Z,0,20,0,0,0,0,4,0,908,0,1,0.0,0,-131,30,161,44,False,0
Alireza Jahanbakhsh,MID,Brighton,0.2,0,0,0,0,0.0,71,32,0,0,0.0,0.0,2020-10-03T14:00:00Z,0,7,0,0,0,0,4,0,3920,2,4,0.0,0,-247,386,633,55,False,0
Alisson Ramses Becker,GK,Liverpool,5.7,0,0,0,0,0.0,252,30,0,0,0.0,0.0,2020-10-04T18:15:00Z,0,2,0,0,0,0,4,0,992958,2,7,0.0,0,33373,78278,44905,60,False,0
Allan Marques Loureiro,MID,Everton,0.0,0,0,0,0,0.0,502,32,0,0,0.0,0.0,2020-10-03T14:00:00Z,0,3,0,0,0,0,4,0,100840,2,4,0.0,0,-26221,9196,35417,55,True,0
Allan Saint-Maximin,MID,Newcastle,3.0,1,2,42,0,37.4,338,36,1,1,12.1,60.2,2020-10-03T19:00:00Z,72,4,0,0,0,0,4,0,526681,1,3,23.0,12,-190292,4317,194609,54,True,0
Alphonse Areola,GK,Fulham,0.7,0,0,17,0,0.0,516,38,1,0,2.6,26.2,2020-10-04T13:00:00Z,90,20,0,0,0,0,4,4,89827,0,1,0.0,3,-7566,4123,11689,45,False,0
Andreas Christensen,DEF,Chelsea,0.3,0,0,0,0,0.0,116,31,0,0,0.0,0.0,2020-10-03T11:30:00Z,0,6,0,0,0,0,4,0,22240,0,4,0.0,0,-1519,1492,3011,49,True,0
Andreas Pereira,MID,Man Utd,0.0,0,0,0,0,0.0,304,35,0,0,0.0,0.0,2020-10-04T15:30:00Z,0,17,0,0,0,0,4,0,4722,6,1,0.0,0,-620,205,825,49,True,0
Andrew Robertson,DEF,Liverpool,6.3,0,0,13,0,27.2,255,30,7,0,8.3,24.4,2020-10-04T18:15:00Z,90,2,0,0,0,0,4,0,1025161,2,7,31.0,-1,108222,153683,45461,70,False,0
Andriy Yarmolenko,MID,West Ham,-0.3,0,0,0,0,0.0,436,34,0,0,0.0,0.0,2020-10-04T11:00:00Z,0,9,0,0,0,0,4,0,8650,3,0,0.0,0,-1504,527,2031,58,False,0
Andros Townsend,MID,Crystal Palace,5.5,0,0,9,0,29.4,137,31,4,0,3.7,7.8,2020-10-03T11:30:00Z,90,5,0,0,0,0,4,0,267037,0,4,0.0,2,115403,148642,33239,61,False,0
André Filipe Tavares Gomes,MID,Everton,0.0,0,0,0,0,0.0,158,32,0,0,0.0,0.0,2020-10-03T14:00:00Z,0,3,0,0,0,0,4,0,29624,2,4,0.0,0,-4013,3719,7732,55,True,0
André-Frank Zambo Anguissa,MID,Fulham,2.0,0,0,18,0,14.2,191,38,1,0,3.6,19.4,2020-10-04T13:00:00Z,90,20,0,0,0,0,4,0,197027,0,1,2.0,2,6905,28736,21831,45,False,0
Andy Carroll,FWD,Newcastle,1.8,0,0,0,0,0.0,320,36,0,0,0.0,0.0,2020-10-03T19:00:00Z,0,4,0,0,0,0,4,0,41322,1,3,0.0,0,-6319,2812,9131,55,True,0
Angelo Ogbonna,DEF,West Ham,3.0,0,0,22,1,0.0,432,34,0,0,1.7,15.4,2020-10-04T11:00:00Z,90,9,0,0,0,0,4,0,24233,3,0,2.0,6,-418,1519,1937,49,False,0
