code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,pulse_id
3,0,,1,0,Arsenal,0,0,0,ARS,4,,False,0,1245,1285,1250,1250,1240,1320,1
7,0,,2,0,Aston Villa,0,0,0,AVL,3,,False,0,1070,1100,1070,1075,1070,1130,2
91,0,,3,0,Bournemouth,0,0,0,BOU,2,,False,0,1035,1095,1020,1110,1050,1080,127
94,0,,4,0,Brentford,0,0,0,BRE,3,,False,0,1115,1180,1100,1160,1130,1200,130
36,0,,5,0,Brighton,0,0,0,BHA,3,,False,0,1170,1175,1140,1150,1200,1200,131
8,0,,6,0,Chelsea,0,0,0,CHE,3,,False,0,1165,1220,1190,1220,1140,1220,4
31,0,,7,0,Crystal Palace,0,0,0,CRY,3,,False,0,1085,1100,1110,1110,1060,1090,6
11,0,,8,0,Everton,0,0,0,EVE,3,,False,0,1055,1095,1070,1100,1040,1090,7
54,0,,9,0,Fulham,0,0,0,FUL,3,,False,0,1095,1100,1070,1065,1120,1140,34
13,0,,10,0,Leicester,0,0,0,LEI,3,,False,0,1130,1115,1065,1110,1200,1120,26
2,0,,11,0,Leeds,0,0,0,LEE,3,,False,0,1100,1090,1070,1075,1130,1120,9
14,0,,12,0,Liverpool,0,0,0,LIV,4,,False,0,1220,1275,1180,1250,1260,1300,10
43,0,,13,0,Man City,0,0,0,MCI,5,,False,0,1350,1360,1340,1340,1360,1380,11
1,0,,14,0,Man Utd,0,0,0,MUN,3,,False,0,1155,1220,1140,1220,1165,1220,12
4,0,,15,0,Newcastle,0,0,0,NEW,4,,False,0,1210,1260,1250,1300,1165,1220,23
17,0,,16,0,Nott'm Forest,0,0,0,NFO,3,,False,0,1050,1100,1065,1100,1030,1105,15
20,0,,17,0,Southampton,0,0,0,SOU,2,,False,0,1065,1070,1070,1070,1060,1080,20
6,0,,18,0,Spurs,0,0,0,TOT,3,,False,0,1155,1220,1140,1210,1170,1230,21
21,0,,19,0,West Ham,0,0,0,WHU,3,,False,0,1100,1130,1145,1150,1060,1110,25
39,0,,20,0,Wolves,0,0,0,WOL,3,,False,0,1080,1090,1100,1100,1060,1080,38
