first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Granit,Xhaka,7,8,153,2992,35,673.3,647.0,498.0,15,634,182.0,13,0,4,2.7,48,MID
Mohamed,Elneny,0,0,6,111,2,5.4,4.6,0.0,0,27,1.1,0,0,0,0.6,41,MID
Rob,Holding,1,0,21,562,13,10.3,152.0,54.0,0,120,21.6,0,0,0,0.2,42,DEF
Thomas,Partey,3,0,86,2480,28,439.6,513.2,240.0,6,468,119.5,11,0,5,0.4,47,MID
Martin,Ødegaard,15,8,212,3132,38,1100.4,960.0,920.0,30,813,298.3,13,0,4,33.3,69,MID
Kieran,Tierney,0,1,37,774,10,85.5,144.0,67.0,0,164,29.9,1,0,0,0.8,46,DEF
Nicolas,Pépé,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,53,MID
Benjamin,White,2,5,156,3054,35,491.2,649.0,159.0,12,734,130.0,15,0,5,16.1,50,DEF
Eddie,Nketiah,4,2,63,1071,16,128.2,213.4,598.0,5,161,93.1,2,0,3,1.8,63,FWD
Emile,Smith Rowe,0,2,18,161,5,64.3,36.6,39.0,0,60,13.8,0,0,0,0.4,56,MID
Bukayo,Saka,14,12,202,3183,42,1091.8,972.2,1164.0,19,678,322.8,12,0,6,25.6,80,MID
Takehiro,Tomiyasu,0,1,32,651,11,86.6,137.0,55.0,0,173,27.7,2,0,2,0.5,42,DEF
Aaron,Ramsdale,0,0,143,3420,43,0.0,761.4,0.0,9,664,76.2,14,0,1,11.4,48,GK
Gabriel,dos Santos Magalhães,3,0,146,3409,43,129.7,733.8,401.0,15,723,126.5,14,0,5,13.4,52,DEF
Nuno,Varela Tavares,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
Gabriel,Martinelli Silva,15,9,198,2789,33,838.1,844.2,1300.0,18,648,298.1,14,0,3,26.3,65,MID
Pablo,Marí Villar,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF
Lucas,Torreira di Pascua,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID
Reiss,Nelson,3,3,42,202,3,99.2,169.8,155.0,5,127,42.4,1,0,0,0.0,47,MID
Matt,Turner,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.4,38,GK
Fábio,Ferreira Vieira,1,2,40,500,5,180.1,115.2,123.0,2,134,41.4,2,0,0,0.1,56,MID
William,Saliba,2,1,117,2415,25,100.8,529.0,114.0,14,571,74.5,12,0,4,15.6,49,DEF
Marcus,Oliveira Alencar,0,0,1,1,0,0.2,0.0,0.0,0,3,0.0,0,0,0,0.1,46,MID
Gabriel,Fernando de Jesus,11,7,125,2064,23,407.3,594.2,1282.0,17,401,228.3,9,0,6,28.3,81,FWD
Leandro,Trossard,8,13,154,2237,38,687.1,620.0,859.0,8,494,216.6,8,0,1,7.2,66,MID
Jorge Luiz,Frello Filho,2,2,79,2127,23,254.1,386.4,97.0,5,379,73.9,9,0,4,1.9,57,MID
Oleksandr,Zinchenko,1,2,99,2122,28,387.7,405.0,190.0,8,500,98.3,10,0,3,9.0,50,DEF
Matthew,Smith,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,MID
Ethan,Nwaneri,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,45,MID
Lino,Sousa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF
Karl,Hein,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,39,GK
Amario,Cozier-Duberry,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Nathan,Butler-Oyedeji,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Jakub,Kiwior,1,0,26,425,6,4.1,53.6,4.0,1,111,6.3,2,0,0,0.3,40,DEF
Reuell,Walters,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Mauro,Bandeira,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Philippe,Coutinho Correia,1,0,32,777,9,152.5,119.2,218.0,1,98,48.8,3,0,3,2.9,66,MID
Emiliano,Martínez Romero,0,0,135,3139,38,23.0,813.0,0.0,15,678,83.5,11,0,7,6.6,50,GK
Calum,Chambers,0,0,13,345,4,29.8,74.4,8.0,0,67,11.1,0,0,2,0.2,42,DEF
Lucas,Digne,1,0,50,1492,25,293.3,271.4,92.0,4,234,65.8,3,0,5,1.2,45,DEF
Bertrand,Traoré,2,0,20,226,1,30.7,82.0,79.0,1,57,19.0,1,0,1,0.1,49,MID
Robin,Olsen,0,0,10,280,8,0.0,83.2,0.0,1,62,8.2,1,0,0,1.4,39,GK
Morgan,Sanson,0,0,2,10,1,0.5,4.2,0.0,0,6,0.4,0,0,0,0.2,43,MID
John,McGinn,1,5,90,2692,31,349.2,375.0,326.0,3,354,105.1,10,0,7,0.6,51,MID
Kortney,Hause,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
Tyrone,Mings,1,3,130,3150,40,87.7,657.2,121.0,17,617,87.0,12,0,7,12.5,47,DEF
Ollie,Watkins,15,8,175,3129,40,408.5,792.0,1268.0,25,550,247.0,13,0,4,12.8,73,FWD
Marvelous,Nakamba,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,MID
Emiliano,Buendía Stati,5,3,117,2404,34,546.3,438.2,580.0,8,370,156.6,11,0,0,0.7,57,MID
Matty,Cash,0,2,57,1817,29,178.0,298.4,67.0,3,311,54.4,4,0,4,3.1,46,DEF
Ezri,Konsa Ngoyo,0,0,110,3322,45,116.1,560.4,72.0,6,633,74.9,12,0,6,1.0,44,DEF
Leon,Bailey,4,5,100,1964,32,439.1,334.2,532.0,6,242,130.1,8,0,4,2.7,43,MID
Douglas Luiz,Soares de Paulo,6,7,142,2922,35,655.4,661.6,242.0,17,594,155.8,13,1,6,1.0,48,MID
Jacob,Ramsey,6,8,135,2634,33,496.7,607.2,424.0,13,470,152.8,11,0,5,1.5,51,MID
Tim,Iroegbunam,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Diego Carlos,Santos Silva,0,0,4,205,3,13.2,24.8,32.0,0,20,7.0,0,0,0,0.2,47,DEF
Anwar,El Ghazi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48,MID
Keinan,Davis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,FWD
Boubacar,Kamara,0,1,44,1773,30,123.4,275.8,39.0,0,235,43.9,3,0,4,0.1,48,MID
Cameron,Archer,0,0,6,43,1,2.4,1.8,6.0,0,13,0.9,0,0,0,1.7,42,FWD
Jaden,Philogene-Bidace,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Frédéric,Guilbert,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,39,DEF
Leander,Dendoncker,0,0,37,897,14,96.1,143.4,64.0,0,163,30.6,4,0,0,0.1,47,MID
Ludwig,Augustinsson,0,0,2,76,0,1.9,5.6,35.0,0,5,4.2,0,0,1,0.0,43,DEF
Kaine,Kesler Hayden,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Ashley,Young,1,0,87,2031,28,223.4,380.2,81.0,8,388,68.7,9,0,7,0.8,43,DEF
Lamare,Bogarde,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Filip,Marschall,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Kadan,Young,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Alexandre,Moreno Lopera,0,3,72,1325,10,321.1,254.4,151.0,5,278,72.3,7,0,3,2.1,45,DEF
Viljami,Sinisalo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Jhon,Durán,0,0,11,126,4,13.4,12.8,51.0,0,15,7.4,0,0,1,0.0,55,FWD
Sil,Swinkels,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Oliwier,Zych,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
James,Wright,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Sebastian,Revan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF
Travis,Patterson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Tommi,O'Reilly,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID
Adam,Smith,0,1,74,2940,58,261.6,406.2,88.0,5,400,75.7,7,0,11,0.2,43,DEF
Junior,Stanislas,0,0,4,58,1,22.9,10.0,7.0,0,13,3.9,0,0,0,0.0,48,MID
Ryan,Fredericks,0,0,12,527,11,26.7,66.0,12.0,0,63,10.6,0,0,1,0.0,44,DEF
David,Brooks,0,0,5,170,4,16.4,13.6,31.0,0,7,6.0,0,0,1,0.0,53,MID
Jamal,Lowe,0,0,2,11,0,0.3,0.2,0.0,0,6,0.1,0,0,0,0.0,52,MID
Kieffer,Moore,4,0,57,1269,34,89.6,216.2,272.0,3,161,57.3,3,0,1,0.7,49,FWD
Emiliano,Marcondes,0,0,1,8,1,0.0,1.2,0.0,0,3,0.1,0,0,0,0.0,47,MID
Jefferson,Lerma Solís,5,0,101,3252,67,293.6,616.6,311.0,5,500,122.1,7,0,7,0.5,47,MID
Jack,Stacey,0,0,6,293,10,8.6,44.2,8.0,0,36,6.0,0,0,2,0.0,42,DEF
Dominic,Solanke,6,10,130,2865,52,279.9,524.8,1046.0,14,339,184.4,8,0,2,3.6,56,FWD
Lewis,Cook,0,2,51,1712,39,352.5,313.0,45.0,1,280,71.2,3,0,4,0.1,49,MID
Ben,Pearson,0,0,9,282,10,6.4,21.0,9.0,0,32,3.7,1,0,1,0.1,44,MID
Ryan,Christie,1,2,64,1825,35,421.7,282.0,400.0,2,225,110.5,3,0,2,0.1,53,MID
Philip,Billing,7,2,126,2766,54,388.8,622.0,441.0,14,475,145.2,9,0,5,0.9,50,MID
Chris,Mepham,0,0,43,2197,52,54.4,556.4,134.0,6,369,74.4,5,0,7,0.1,43,DEF
Mark,Travers,0,0,28,1035,32,0.0,253.0,0.0,1,193,25.4,2,0,0,0.4,41,GK
Lloyd,Kelly,0,2,60,2040,38,97.7,394.0,26.0,5,372,52.1,5,0,3,0.5,43,DEF
Siriki,Dembélé,0,0,6,104,2,52.3,31.8,28.0,0,20,11.3,0,0,0,0.1,47,MID
Jaidon,Anthony,3,1,61,1241,29,209.1,299.4,263.0,4,193,77.2,2,0,2,0.1,52,MID
Jordan,Zemura,0,1,47,1452,31,232.8,269.4,71.0,1,235,57.1,5,0,1,0.1,42,DEF
Will,Dennis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,39,GK
Jack,Stephens,0,0,35,1218,24,57.3,270.0,51.0,1,233,38.0,4,0,3,0.0,43,DEF
Joe,Rothwell,0,1,33,1010,15,153.3,127.4,27.0,0,167,30.6,3,0,1,0.0,49,MID
Marcus,Tavernier,5,4,94,1740,37,348.4,459.8,436.0,12,315,124.2,5,0,1,0.2,47,MID
James,Hill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF
Darren,Randolph,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,GK
Norberto,Murara Neto,0,0,93,2385,39,0.0,727.6,0.0,9,510,72.8,6,0,4,0.6,45,GK
Marcos,Senesi,2,0,69,2489,55,78.7,586.0,109.0,5,462,77.5,5,0,7,0.2,44,DEF
Christian,Saydee,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Owen,Bevan,0,0,1,8,1,0.0,0.2,0.0,0,3,0.0,0,0,0,0.0,40,DEF
Cameron,Plain,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK
Daniel,Adu-Adjei,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Michael,Dacosta Gonzalez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,MID
Dominic,Sadi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
Dango,Ouattara,1,3,49,1239,23,261.0,276.8,274.0,4,163,81.0,1,0,1,0.0,50,MID
Euan,Pollock,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD
