assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form_rank,form_rank_type,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,saves,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,100,100,0,58822,None,,0,0,-3,3,0.0,496,201,None,,0,2,1.0,0.5,0,Cédric,0.0,463,183,0,0,0.0,512,206,1,False,0.0,509,206,0,,2022-09-16T13:30:06.551108Z,42,543,166,0,0,None,0,,58822.jpg,0.0,521,204,0,0,Alves Soares,0.1,394,144,False,None,a,1,3,0.0,447,183,0,5281,88,24674,201,0.0,0.0,Cédric,0
3,7,223,None,None,4,84450,None,,0,0,1,-1,247.5,29,24,3,,1,3,7.0,6.5,10,Granit,6.0,13,7,11,3,70.6,29,21,3,False,268.6,35,14,987,,None,51,174,102,0,0,None,0,,84450.jpg,5.0,27,12,0,0,Xhaka,3.7,88,33,False,None,a,1,3,190.0,59,36,55,579373,34871,349603,6311,1.2,10.8,Xhaka,2
0,0,15,0,0,0,153256,None,,-1,1,-3,3,3.8,355,167,None,,1,3,0.0,0.0,0,Mohamed,0.0,468,176,1,0,0.8,402,178,4,False,4.2,398,174,90,Hamstring injury - Unknown return date,2022-08-30T11:30:06.278675Z,42,549,278,0,0,None,0,,153256.jpg,2.0,253,102,0,0,Elneny,0.6,239,79,False,None,i,1,3,0.0,453,175,2,112041,1565,185187,1550,0.0,0.5,Elneny,0
0,0,11,None,None,0,156074,None,,0,0,-3,3,0.1,410,155,None,,0,2,1.2,0.7,0,Rob,0.2,351,124,0,0,0.2,422,157,5,False,2.4,411,156,11,,None,42,550,171,0,0,None,0,,156074.jpg,1.0,356,129,0,0,Holding,0.1,414,154,False,None,a,1,3,0.0,454,188,3,5141,112,14803,256,0.0,0.7,Holding,0
0,3,137,100,100,4,167199,None,,0,0,-2,2,103.9,129,87,None,,0,3,5.2,4.7,2,Thomas,4.2,48,20,6,1,32.1,150,90,6,False,150.6,146,61,689,,2022-09-25T09:00:06.484502Z,48,268,165,0,0,None,0,,167199.jpg,3.5,95,39,0,0,Partey,0.5,255,89,False,None,a,1,3,66.0,174,106,28,63941,1773,84095,2274,0.9,5.8,Partey,0
2,6,203,100,100,3,184029,4,,0,0,-1,1,265.3,24,19,1,,1,3,4.5,4.0,2,Martin,3.5,83,35,10,3,77.8,23,15,7,False,223.6,59,25,810,,2022-09-18T20:00:06.315087Z,64,57,27,0,0,None,0,,184029.jpg,4.8,31,15,0,0,Ødegaard,13.2,30,12,False,None,a,1,3,288.0,32,20,48,1682716,22568,1869624,31437,0.5,7.5,Ødegaard,2
0,0,68,100,100,1,192895,None,,0,0,-2,2,38.9,226,62,None,,0,2,2.0,1.5,1,Kieran,1.0,274,95,2,0,13.4,292,96,8,False,54.0,288,112,319,,2022-09-26T13:00:06.430643Z,48,271,41,0,0,None,0,,192895.jpg,1.7,298,109,0,0,Tierney,0.8,197,72,False,None,a,1,3,41.0,231,59,17,51619,1367,108066,1651,0.2,3.5,Tierney,0
0,0,0,0,0,0,195735,None,,0,0,-2,2,0.0,637,274,None,,0,3,0.0,0.0,0,Nicolas,0.0,629,270,0,0,0.0,639,274,9,False,0.0,638,274,0,Season-long loan to Nice,2022-08-26T07:24:29.541862Z,53,154,87,0,0,None,0,,195735.jpg,0.0,638,274,0,0,Pépé,0.1,416,152,False,None,u,1,3,0.0,636,274,0,5198,0,35870,59,0.0,0.0,Pépé,0
2,4,220,None,None,5,198869,None,,0,0,0,0,135.6,87,12,None,,0,2,5.5,5.0,6,Benjamin,4.5,39,10,10,0,35.8,127,22,10,False,200.2,78,25,880,,None,45,352,79,0,0,None,0,,198869.jpg,4.3,48,10,0,0,White,7.3,51,17,False,None,a,1,3,23.0,282,88,47,599991,54829,468733,5141,1.0,10.4,White,2
0,0,19,None,None,0,205533,None,,0,0,-5,5,27.0,267,40,None,,0,4,2.0,1.5,1,Eddie,1.0,281,38,1,0,17.5,258,37,11,False,20.6,342,41,126,,None,65,55,26,0,0,None,0,,205533.jpg,1.0,428,53,0,0,Nketiah,0.3,293,46,False,None,a,1,3,131.0,104,30,11,16967,318,73201,569,0.2,1.7,Nketiah,0
