Understat_ID,FPL_ID,Understat_Name,FPL_Name
65,137,Timo Werner,Timo Werner
76,366,Fabian Schär,Fabian Schär
87,371,Joelinton,Joelinton Cássio Apolinário de Lira
101,368,Allan Saint-Maximin,Allan Saint-Maximin
111,253,Jannik Vestergaard,Jannik Vestergaard
181,2,Bernd Leno,Bernd Leno
204,3,Granit Xhaka,Granit Xhaka
229,277,Thiago Alcántara,Thiago Alcántara do Nascimento
239,104,Pascal Groß,Pascal Groß
314,300,Ilkay Gündogan,Ilkay Gündogan
332,276,Joel Matip,Joel Matip
343,433,Pierre-Emile Højbjerg,Pierre-Emile Højbjerg
447,301,Kevin De Bruyne,Kevin De Bruyne
448,448,Ivan Perisic,Ivan Perišić
453,428,Son Heung-Min,Son Heung-Min
461,350,Matt Ritchie,Matt Ritchie
463,58,Junior Stanislas,Junior Stanislas
468,356,Callum Wilson,Callum Wilson
473,254,Danny Ward,Danny Ward
482,279,Roberto Firmino,Roberto Firmino
486,101,Adam Lallana,Adam Lallana
488,29,Philippe Coutinho,Philippe Coutinho Correia
489,274,James Milner,James Milner
496,4,Mohamed Elneny,Mohamed Elneny
500,186,Alex Iwobi,Alex Iwobi
501,103,Danny Welbeck,Danny Welbeck
503,400,Theo Walcott,Theo Walcott
508,32,Calum Chambers,Calum Chambers
509,518,Wayne Hennessey,Wayne Hennessey
510,156,Joel Ward,Joel Ward
522,160,Wilfried Zaha,Wilfried Zaha
528,456,Angelo Ogbonna,Angelo Ogbonna
530,153,James Tomkins,James Tomkins
531,458,Michail Antonio,Michail Antonio
534,457,Aaron Cresswell,Aaron Cresswell
535,460,Manuel Lanzini,Manuel Lanzini
546,327,David de Gea,David De Gea Quintana
553,345,Anthony Martial,Anthony Martial
556,335,Marcus Rashford,Marcus Rashford
558,527,Jesse Lingard,Jesse Lingard
579,308,Nathan Aké,Nathan Aké
585,178,Seamus Coleman,Seamus Coleman
586,302,John Stones,John Stones
592,131,Ross Barkley,Ross Barkley
603,157,Nathaniel Clyne,Nathaniel Clyne
605,275,Jordan Henderson,Jordan Henderson
606,155,Christian Benteke,Christian Benteke
618,304,Raheem Sterling,Raheem Sterling
620,262,Kelechi Iheanacho,Kelechi Iheanacho
624,424,Willy Caballero,Willy Caballero
633,154,James McArthur,James McArthur
635,401,Alex McCarthy,Alex McCarthy
637,425,Hugo Lloris,Hugo Lloris
638,299,Kyle Walker,Kyle Walker
643,430,Eric Dier,Eric Dier
645,181,Dele Alli,Dele Alli
646,519,Christian Eriksen,Christian Eriksen
647,427,Harry Kane,Harry Kane
652,357,Kieran Trippier,Kieran Trippier
660,432,Ben Davies,Ben Davies
672,159,Jordan Ayew,Jordan Ayew
675,305,Jack Grealish,Jack Grealish
681,127,César Azpilicueta,César Azpilicueta
688,136,Ruben Loftus-Cheek,Ruben Loftus-Cheek
695,34,Bertrand Traoré,Bertrand Traoré
706,455,Lukasz Fabianski,Lukasz Fabianski
708,351,Federico Fernández,Federico Fernández
741,182,Jordan Pickford,Jordan Pickford
743,361,Dwight Gayle,Dwight Gayle
745,248,Kasper Schmeichel,Kasper Schmeichel
750,303,Riyad Mahrez,Riyad Mahrez
751,134,N&#039;Golo Kanté,N'Golo Kanté
753,251,Marc Albrighton,Marc Albrighton
755,255,Jamie Vardy,Jamie Vardy
757,161,Jeffrey Schlupp,Jeffrey Schlupp
759,257,Daniel Amartey,Daniel Amartey
762,189,Demarai Gray,Demarai Gray
766,360,Jamaal Lascelles,Jamaal Lascelles
767,381,Jack Colback,Jack Colback
769,349,Jonjo Shelvey,Jonjo Shelvey
770,260,Ayoze Pérez,Ayoze Pérez
773,210,Aleksandar Mitrovic,Aleksandar Mitrović
775,179,Andros Townsend,Andros Townsend
780,353,Karl Darlow,Karl Darlow
782,139,Ben Chilwell,Ben Chilwell
790,403,Nathan Redmond,Nathan Redmond
804,459,Craig Dawson,Craig Dawson
807,249,Jonny Evans,Jonny Evans
813,177,Salomón Rondón,Salomón Rondón
822,227,Patrick Bamford,Patrick Bamford
825,57,Adam Smith,Adam Smith
831,426,Fraser Forster,Fraser Forster
833,280,Virgil van Dijk,Virgil van Dijk
835,250,Ryan Bertrand,Ryan Bertrand
842,402,Oriol Romeu,Oriol Romeu Vidal
843,407,James Ward-Prowse,James Ward-Prowse
847,1,Cédric Soares,Cédric Alves Soares
853,362,Paul Dummett,Paul Dummett
856,162,Jack Butland,Jack Butland
875,352,Ciaran Clark,Ciaran Clark
884,367,Matt Targett,Matt Targett
885,409,Kyle Walker-Peters,Kyle Walker-Peters
910,211,Harrison Reed,Harrison Reed
922,346,Andreas Pereira,Andreas Hoelgebaum Pereira
935,461,Kurt Zouma,Kurt Zouma
951,328,Phil Jones,Phil Jones
966,278,Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain
971,434,Harry Winks,Harry Winks
985,192,Mason Holgate,Mason Holgate
986,30,Danny Ings,Danny Ings
987,286,Joseph Gomez,Joseph Gomez
998,80,Ivan Toney,Ivan Toney
1006,332,Luke Shaw,Luke Shaw
1014,229,Tyler Roberts,Tyler Roberts
1024,39,Tyrone Mings,Tyrone Mings
1042,190,Tom Davies,Tom Davies
1053,52,Keinan Davis,Keinan Davis
1078,82,Sergi Canos,Sergi Canós Tenés
1228,333,Bruno Fernandes,Bruno Borges Fernandes
1250,283,Mohamed Salah,Mohamed Salah
1257,281,Alisson,Alisson Ramses Becker
1376,520,Kalidou Koulibaly,Kalidou Koulibaly
1379,183,Allan,Allan Marques Loureiro
1389,130,Jorginho,Jorge Luiz Frello Filho
1545,364,Emil Krafth,Emil Krafth
1621,129,Marcos Alonso,Marcos Alonso
1653,180,Michael Keane,Michael Keane
1654,526,Ben Mee,Ben Mee
1665,199,James Tarkowski,James Tarkowski
1679,66,Dominic Solanke,Dominic Solanke
1683,359,Ryan Fraser,Ryan Fraser
1687,330,Harry Maguire,Harry Maguire
1688,284,Andrew Robertson,Andrew Robertson
1711,224,Adam Forshaw,Adam Forshaw
1719,363,Javier Manquillo,Javier Manquillo Gaitán
1726,185,Abdoulaye Doucouré,Abdoulaye Doucouré
1735,404,Jack Stephens,Jack Stephens
1739,339,Eric Bailly,Eric Bailly
1746,375,Jeff Hendrick,Jeff Hendrick
1749,5,Rob Holding,Rob Holding
1750,21,Ainsley Maitland-Niles,Ainsley Maitland-Niles
1760,462,Arthur Masuaku,Arthur Masuaku
1776,465,Jarrod Bowen,Jarrod Bowen
1785,252,Nampalys Mendy,Nampalys Mendy
1789,67,Lewis Cook,Lewis Cook
1791,285,Trent Alexander-Arnold,Trent Alexander-Arnold
1801,78,Pontus Jansson,Pontus Jansson
1823,33,Lucas Digne,Lucas Digne
1828,334,Alex Telles,Alex Telles
2163,228,Diego Llorente,Diego Llorente
2182,64,Jefferson Lerma,Jefferson Lerma Solís
2190,152,Vicente Guaita,Vicente Guaita
2203,42,Emiliano Buendía,Emiliano Buendía Stati
2245,329,Raphael Varane,Raphaël Varane
2254,132,Mateo Kovacic,Mateo Kovacic
2280,477,Jonny,Jonathan Castro Otto
2310,473,Alphonse Areola,Alphonse Areola
2328,6,Thomas Partey,Thomas Partey
2335,469,Pablo Fornals,Pablo Fornals Malla
2371,326,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro
2379,306,João Cancelo,João Cancelo
2381,225,Rodrigo,Rodrigo Moreno
2383,184,André Gomes,André Tavares Gomes
2496,315,Rodri,Rodrigo Hernandez
2498,309,Aymeric Laporte,Aymeric Laporte
2517,7,Martin Odegaard,Martin Ødegaard
2662,140,Christian Pulisic,Christian Pulisic
2958,313,Oleksandr Zinchenko,Oleksandr Zinchenko
3203,470,Issa Diop,Issa Diop
3288,128,Thiago Silva,Thiago Emiliano da Silva
3293,431,Lucas Moura,Lucas Rodrigues Moura da Silva
