first_name,second_name,id
Cédric,Alves Soares,1
Granit,Xhaka,3
Mohamed,Elneny,4
Rob,Holding,5
Thomas,Partey,6
Martin,Ødegaard,7
Kieran,Tierney,8
Nicolas,Pépé,9
Benjamin,White,10
Eddie,Nketiah,11
Emile,Smith Rowe,12
Bukayo,Saka,13
Takehiro,Tomiyasu,14
Aaron,Ramsdale,15
Gabriel,dos Santos Magalhães,16
Nuno,Varela Tavares,17
Albert,Sambi Lokonga,18
Gabriel,Martinelli Silva,19
Pablo,Marí Villar,20
Lucas,Torreira di Pascua,22
Reiss,Nelson,23
Matt,Turner,24
Fábio,Ferreira Vieira,25
William,Saliba,26
Marcus,Oliveira Alencar,27
Gabriel,Fernando de Jesus,28
Oleksandr,Zinchenko,313
Matthew,Smith,607
Ethan,Nwaneri,630
Lino,Sousa,631
Karl,Hein,655
Amario,Cozier-Duberry,668
Nathan,Butler-Oyedeji,685
Philippe,Coutinho Correia,29
Danny,Ings,30
Emiliano,Martínez Romero,31
Calum,Chambers,32
Lucas,Digne,33
Bertrand,Traoré,34
Robin,Olsen,35
Morgan,Sanson,36
John,McGinn,37
Kortney,Hause,38
Tyrone,Mings,39
Ollie,Watkins,40
Marvelous,Nakamba,41
Emiliano,Buendía Stati,42
Matty,Cash,43
Ezri,Konsa Ngoyo,44
Leon,Bailey,45
Douglas Luiz,Soares de Paulo,46
Jacob,Ramsey,47
Tim,Iroegbunam,49
Diego Carlos,Santos Silva,50
Anwar,El Ghazi,51
Keinan,Davis,52
Boubacar,Kamara,53
Cameron,Archer,54
Jaden,Philogene-Bidace,55
Frédéric,Guilbert,56
Jan,Bednarek,410
Leander,Dendoncker,479
Ludwig,Augustinsson,525
Kaine,Kesler Hayden,537
Ashley,Young,538
Lamare,Bogarde,638
Filip,Marschall,670
Kadan,Young,672
Alexandre,Moreno Lopera,694
Adam,Smith,57
Junior,Stanislas,58
Ryan,Fredericks,59
David,Brooks,60
Jamal,Lowe,61
Kieffer,Moore,62
Emiliano,Marcondes,63
Jefferson,Lerma Solís,64
Jack,Stacey,65
Dominic,Solanke,66
Lewis,Cook,67
Ben,Pearson,68
Ryan,Christie,69
Philip,Billing,70
Chris,Mepham,71
Mark,Travers,72
Lloyd,Kelly,73
Siriki,Dembélé,74
Jaidon,Anthony,75
Jordan,Zemura,76
Will,Dennis,77
Jack,Stephens,404
Joe,Rothwell,505
Marcus,Tavernier,535
James,Hill,539
Norberto,Murara Neto,574
