assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
0,0,0,0,0.0,0,40142,39,1,0,0.0,582,0.0,91,0,0,0,0,0,1,2006/07,39,0.0,4,0
1,0,0,0,0.0,0,40142,38,5,0,0.0,1083,0.0,141,0,0,0,0,0,2,2007/08,40,0.0,6,0
1,1,0,0,0.0,0,40142,48,11,3,0.0,1722,0.0,534,0,0,0,0,0,3,2008/09,50,0.0,33,2
6,21,0,7,0.0,0,40142,62,34,13,0.0,2960,0.0,2071,0,0,0,0,0,5,2010/11,50,0.0,135,5
3,8,0,8,0.0,174,40142,91,26,4,0.0,3883,0.0,2074,0,0,0,0,0,6,2011/12,100,0.0,84,5
5,9,0,7,0.0,214,40142,83,29,7,0.0,4592,0.0,1953,0,0,0,0,0,7,2012/13,85,0.0,94,6
5,5,37,2,0.0,136,40142,71,18,2,0.0,5330,0.0,1090,0,0,0,1,0,8,2013/14,75,0.0,52,0
2,7,169,3,0.0,178,40142,63,11,5,0.0,6052,0.0,1024,0,0,0,0,0,9,2014/15,70,0.0,56,2
2,11,315,4,0.0,381,40142,65,23,9,0.0,6768,0.0,1440,0,0,0,0,0,10,2015/16,65,0.0,90,2
2,6,256,3,220.8,0,40142,59,27,7,119.2,7461,351.8,1312,0,0,0,0,0,11,2016/17,65,620.0,69,3
1,6,106,3,110.2,0,40142,57,13,3,58.8,8116,145.4,742,0,0,0,1,0,12,2017/18,60,344.0,36,5
