name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Nathan Redmond,MID,Southampton,-0.3,0,0,0,0,0.0,403,0.00000,0.00000,0.00000,0.00000,50,0,0,0.0,0.0,2022-08-30T18:45:00Z,0,6,0,0,0,0,5,0,4990,0,1,2,0.0,0,-543,87,630,53,True,0
Junior Stanislas,MID,Bournemouth,0.0,0,0,0,0,0.0,58,0.00000,0.00000,0.00000,0.00000,42,0,0,0.0,0.0,2022-08-31T18:30:00Z,0,20,0,0,0,0,5,0,4111,0,0,0,0.0,0,-1263,50,1313,48,True,0
Armando Broja,FWD,Chelsea,1.1,0,0,1,0,0.0,150,0.00000,0.00000,0.00000,0.00000,50,0,0,2.7,6.4,2022-08-30T18:45:00Z,24,17,0,0,0,0,5,0,67374,0,1,2,21.0,1,-9964,1964,11928,54,False,0
Fabian Schär,DEF,Newcastle,3.2,0,0,0,0,0.0,366,0.00000,0.00000,0.00000,0.00000,48,0,0,0.0,0.0,2022-08-31T19:00:00Z,0,12,0,0,0,0,5,0,767795,0,1,2,0.0,0,-62447,32478,94925,47,False,0
Jonny Evans,DEF,Leicester,0.5,0,0,16,0,0.6,249,0.00000,0.00000,0.00000,0.00000,46,1,0,2.7,26.4,2022-09-01T19:00:00Z,90,14,0,0,0,0,5,0,28039,0,1,0,0.0,2,-1791,789,2580,44,True,0
Brennan Johnson,FWD,Nott'm Forest,1.3,0,0,1,0,0.6,394,0.00000,0.00000,0.00000,0.00000,49,4,0,0.0,0.0,2022-08-31T18:30:00Z,57,13,0,0,0,0,5,0,155100,0,0,6,1.0,1,-11517,15162,26679,59,False,0
Cheick Doucouré,MID,Crystal Palace,2.8,1,2,28,0,25.2,514,0.00000,0.00000,0.00000,0.00000,43,1,0,6.4,38.8,2022-08-30T18:30:00Z,90,4,0,0,0,0,5,0,12986,0,1,1,0.0,6,-536,1058,1594,50,True,1
Oliver Hammond,MID,Nott'm Forest,-1.5,0,0,0,0,0.0,553,0.00000,0.00000,0.00000,0.00000,49,0,0,0.0,0.0,2022-08-31T18:30:00Z,0,13,0,0,0,0,5,0,3866,0,0,6,0.0,0,-231,172,403,45,False,0
Luke Cundle,MID,Wolves,0.5,0,0,0,0,0.0,485,0.00000,0.00000,0.00000,0.00000,42,0,0,0.0,0.0,2022-08-31T18:30:00Z,0,3,0,0,0,0,5,0,46646,0,0,0,0.0,0,3019,9346,6327,44,False,0
Fin Stevens,DEF,Brentford,0.0,0,0,0,0,0.0,540,0.00000,0.00000,0.00000,0.00000,43,0,0,0.0,0.0,2022-08-30T18:30:00Z,0,7,0,0,0,0,5,0,30219,0,1,1,0.0,0,-1406,1167,2573,40,False,0
Brandon Austin,GK,Spurs,0.5,0,0,0,0,0.0,451,0.00000,0.00000,0.00000,0.00000,47,0,0,0.0,0.0,2022-08-31T18:45:00Z,0,19,0,0,0,0,5,0,33072,0,1,1,0.0,0,-982,498,1480,40,False,0
Luka Milivojevic,MID,Crystal Palace,0.8,0,0,6,0,1.4,158,0.00000,0.00000,0.00000,0.00000,43,1,0,0.5,4.0,2022-08-30T18:30:00Z,14,4,0,0,0,0,5,0,54962,0,1,1,0.0,1,-5190,1872,7062,45,True,0
Wesley Fofana,DEF,Leicester,0.5,0,0,0,0,0.0,272,0.00000,0.00000,0.00000,0.00000,46,0,0,0.0,0.0,2022-09-01T19:00:00Z,0,14,0,0,0,0,5,0,149540,0,1,0,0.0,0,5690,20879,15189,44,True,0
Gianluca Scamacca,FWD,West Ham,0.5,0,0,0,0,0.0,529,0.00000,0.00000,0.00000,0.00000,47,0,0,0.0,0.0,2022-08-31T18:45:00Z,0,18,0,0,0,0,5,0,65900,0,1,1,0.0,0,-10551,2736,13287,69,True,0
Alisson Ramses Becker,GK,Liverpool,3.4,0,0,13,0,0.0,281,0.00000,0.00000,0.00000,0.00000,48,1,0,0.9,8.8,2022-08-31T19:00:00Z,90,15,0,0,0,0,5,1,1568930,0,1,2,0.0,2,-41734,38509,80243,55,True,0
