name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Nathan Redmond,MID,Southampton,0.0,0,0,0,0,0.0,403,0.00,0.00,0.00,0.00,290,0,0,0.0,0.0,2023-04-02T13:00:00Z,0,19,0,0,0,0,29,0,2832,0,0,1,0.0,0,-5,0,5,53,False,0
Junior Stanislas,MID,Bournemouth,0.0,0,0,0,0,0.0,58,0.00,0.00,0.00,0.00,282,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,9,0,0,0,0,29,0,2207,0,1,2,0.0,0,-38,7,45,48,True,0
Junior Stanislas,MID,Bournemouth,0.0,0,0,0,0,0.0,58,0.00,0.00,0.00,0.00,62,0,0,0.0,0.0,2023-04-04T18:45:00Z,0,5,0,0,0,0,29,0,2207,0,2,0,0.0,0,-38,7,45,48,True,0
Armando Broja,FWD,Chelsea,0.0,0,0,0,0,0.0,150,0.00,0.00,0.00,0.00,284,0,0,0.0,0.0,2023-04-01T16:30:00Z,0,2,0,0,0,0,29,0,38369,0,2,0,0.0,0,-243,42,285,52,True,0
Armando Broja,FWD,Chelsea,0.0,0,0,0,0,0.0,150,0.00,0.00,0.00,0.00,74,0,0,0.0,0.0,2023-04-04T19:00:00Z,0,12,0,0,0,0,29,0,38369,0,0,0,0.0,0,-243,42,285,52,True,0
Fabian Schär,DEF,Newcastle,8.6,0,0,21,1,0.7,366,0.02,0.00,0.37,0.43,288,0,0,2.5,6.2,2023-04-02T15:30:00Z,90,14,0,0,0,0,29,0,1520986,1,0,2,18.0,6,51738,86443,34705,50,True,0
Fabian Schär,DEF,Newcastle,8.6,1,0,23,0,13.4,366,0.25,0.00,0.00,0.81,70,1,0,4.6,33.0,2023-04-05T19:00:00Z,90,19,0,0,0,0,29,0,1520986,1,5,1,0.0,5,51738,86443,34705,50,False,0
Jeremiah Chilokoa-Mullen,DEF,Leeds,-0.5,0,0,0,0,0.0,742,0.00,0.00,0.00,0.00,281,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,1,0,0,0,0,29,0,834,0,1,4,0.0,0,144,190,46,40,False,0
Jeremiah Chilokoa-Mullen,DEF,Leeds,-0.5,0,0,0,0,0.0,742,0.00,0.00,0.00,0.00,65,0,0,0.0,0.0,2023-04-04T18:45:00Z,0,16,0,0,0,0,29,0,834,0,1,2,0.0,0,144,190,46,40,True,0
Jonny Evans,DEF,Leicester,0.3,0,0,0,0,0.0,249,0.00,0.00,0.00,0.00,285,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,7,0,0,0,0,29,0,17010,0,1,2,0.0,0,-92,11,103,44,False,0
Jonny Evans,DEF,Leicester,0.3,0,0,0,0,0.0,249,0.00,0.00,0.00,0.00,66,0,0,0.0,0.0,2023-04-04T18:45:00Z,0,2,0,0,0,0,29,0,17010,0,2,1,0.0,0,-92,11,103,44,True,0
Enzo Fernández,MID,Chelsea,5.1,0,0,17,0,60.3,724,0.18,0.00,0.05,0.81,284,2,0,8.5,18.8,2023-04-01T16:30:00Z,90,2,0,0,0,0,29,0,186389,1,2,0,6.0,1,-5258,17666,22924,50,True,1
Enzo Fernández,MID,Chelsea,5.1,0,0,15,1,2.8,724,0.02,0.00,0.03,0.35,74,0,0,1.4,10.0,2023-04-04T19:00:00Z,90,12,0,0,0,0,29,0,186389,1,0,0,1.0,3,-5258,17666,22924,50,True,0
Brennan Johnson,FWD,Nott'm Forest,3.0,0,2,21,0,2.6,394,0.04,0.00,0.44,0.47,289,1,1,10.0,32.4,2023-04-01T14:00:00Z,90,20,0,0,0,0,29,0,231413,1,1,1,65.0,7,-9733,30000,39733,57,True,1
Brennan Johnson,FWD,Nott'm Forest,3.0,0,0,-3,0,11.2,394,0.02,0.00,0.00,1.94,65,2,0,1.8,0.4,2023-04-04T18:45:00Z,90,11,0,0,0,0,29,0,231413,1,1,2,6.0,1,-9733,30000,39733,57,False,1
Cheick Doucouré,MID,Crystal Palace,1.0,0,0,13,0,22.8,514,0.07,0.00,0.11,0.22,285,1,0,4.9,13.8,2023-04-01T14:00:00Z,90,10,0,0,0,0,29,0,11383,1,1,2,12.0,2,-42,100,142,50,True,0
Oliver Hammond,MID,Nott'm Forest,0.0,0,0,0,0,0.0,553,0.00,0.00,0.00,0.00,289,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,20,0,0,0,0,29,0,3837,0,1,1,0.0,0,-49,40,89,43,True,0
