name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards
Nathan Redmond,MID,Southampton,0.0,0,0,0,0,0.0,403,0.00000,0.00000,0.00000,0.00000,209,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,2,0,0,0,0,21,0,2912,0,1,0,0.0,0,-12,0,12,53,True,0
Junior Stanislas,MID,Bournemouth,0.0,0,0,0,0,0.0,58,0.00000,0.00000,0.00000,0.00000,202,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,16,0,0,0,0,21,0,2293,0,1,1,0.0,0,-38,10,48,48,True,0
Armando Broja,FWD,Chelsea,0.0,0,0,0,0,0.0,150,0.00000,0.00000,0.00000,0.00000,207,0,0,0.0,0.0,2023-01-21T12:30:00Z,0,12,0,0,0,0,21,0,42669,0,0,0,0.0,0,-1376,164,1540,53,False,0
Fabian Schär,DEF,Newcastle,6.0,0,0,26,1,11.5,366,0.03527,0.36747,0.33220,0.29600,203,0,0,7.1,25.2,2023-01-21T17:30:00Z,90,7,0,0,0,0,21,0,1632526,1,0,0,34.0,6,166536,196530,29994,51,False,0
Jonny Evans,DEF,Leicester,0.0,0,0,0,0,0.0,249,0.00000,0.00000,0.00000,0.00000,206,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,5,0,0,0,0,21,0,18032,0,2,2,0.0,0,-276,25,301,44,True,0
Brennan Johnson,FWD,Nott'm Forest,4.5,1,0,17,0,26.4,394,0.09864,0.36954,0.27090,1.35820,202,1,0,9.5,23.8,2023-01-21T15:00:00Z,90,3,0,0,0,0,21,0,156078,1,1,1,45.0,5,62167,68742,6575,56,False,0
Cheick Doucouré,MID,Crystal Palace,2.0,0,0,8,1,4.9,514,0.18700,0.22710,0.04010,1.40790,203,0,0,2.3,14.2,2023-01-21T17:30:00Z,90,15,0,0,0,0,21,0,11833,1,0,0,4.0,2,-241,93,334,50,True,1
Oliver Hammond,MID,Nott'm Forest,-0.5,0,0,0,0,0.0,553,0.00000,0.00000,0.00000,0.00000,202,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,3,0,0,0,0,21,0,3849,0,1,1,0.0,0,-53,55,108,43,False,0
Luke Cundle,MID,Wolves,0.0,0,0,0,0,0.0,485,0.00000,0.00000,0.00000,0.00000,208,0,0,0.0,0.0,2023-01-22T14:00:00Z,0,13,0,0,0,0,21,0,20023,0,0,3,0.0,0,-215,0,215,44,False,0
Fin Stevens,DEF,Brentford,0.0,0,0,0,0,0.0,540,0.00000,0.00000,0.00000,0.00000,205,0,0,0.0,0.0,2023-01-22T14:00:00Z,0,11,0,0,0,0,21,0,14817,0,0,0,0.0,0,-120,0,120,40,False,0
Brandon Austin,GK,Spurs,0.5,0,0,0,0,0.0,451,0.00000,0.00000,0.00000,0.00000,204,0,0,0.0,0.0,2023-01-23T20:15:00Z,0,9,0,0,0,0,21,0,31674,0,1,0,0.0,0,-132,240,372,39,False,0
Luka Milivojevic,MID,Crystal Palace,0.3,0,0,0,0,0.0,158,0.00000,0.00000,0.00000,0.00000,203,0,0,0.0,0.0,2023-01-21T17:30:00Z,0,15,0,0,0,0,21,0,39688,0,0,0,0.0,0,-1321,165,1486,43,True,0
Wesley Fofana,DEF,Chelsea,0.0,0,0,0,0,0.0,272,0.00000,0.00000,0.00000,0.00000,207,0,0,0.0,0.0,2023-01-21T12:30:00Z,0,12,0,0,0,0,21,0,85923,0,0,0,0.0,0,-1631,148,1779,43,False,0
Gianluca Scamacca,FWD,West Ham,0.0,0,0,0,0,0.0,529,0.00000,0.00000,0.00000,0.00000,210,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,8,0,0,0,0,21,0,87976,0,0,2,0.0,0,-5361,2037,7398,66,True,0
Alisson Ramses Becker,GK,Liverpool,4.1,0,3,32,1,0.0,281,0.00028,0.00028,0.00000,1.59020,207,0,0,2.1,20.6,2023-01-21T12:30:00Z,90,6,0,0,0,0,21,2,1552900,1,0,0,0.0,9,-74839,10788,85627,55,True,0
Che Adams,FWD,Southampton,4.0,0,0,2,1,12.1,411,0.00997,0.00997,0.00000,1.02140,209,0,0,1.1,0.0,2023-01-21T15:00:00Z,60,2,0,0,0,0,21,0,211030,1,1,0,2.0,2,27002,42141,15139,63,True,0
Sam Greenwood,FWD,Leeds,1.4,0,0,3,0,0.2,237,0.00838,0.00838,0.00000,0.05350,205,0,0,0.0,0.2,2023-01-22T14:00:00Z,3,4,0,0,0,0,21,0,1351936,0,0,0,0.0,1,-75842,26250,102092,42,True,0
Nathaniel Chalobah,MID,Fulham,-0.3,0,0,0,0,0.0,203,0.00000,0.00000,0.00000,0.00000,204,0,0,0.0,0.0,2023-01-23T20:15:00Z,0,18,0,0,0,0,21,0,9283,0,1,0,0.0,0,-166,78,244,44,True,0
Nathaniel Phillips,DEF,Liverpool,0.5,0,0,0,0,0.0,501,0.00000,0.00000,0.00000,0.00000,207,0,0,0.0,0.0,2023-01-21T12:30:00Z,0,6,0,0,0,0,21,0,52736,0,0,0,0.0,0,-715,803,1518,39,True,0
Loïc Mbe Soh,DEF,Nott'm Forest,-0.5,0,0,0,0,0.0,393,0.00000,0.00000,0.00000,0.00000,202,0,0,0.0,0.0,2023-01-21T15:00:00Z,0,3,0,0,0,0,21,0,3835,0,1,1,0.0,0,36,70,34,42,False,0
