assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
0,0,0,0,0.0,0,55909,40,1,0,0.0,1495,0.0,14,0,0,0,0,0,3,2008/09,40,0.0,1,0
0,0,0,0,0.0,0,55909,40,18,0,0.0,2224,0.0,868,2,0,0,0,0,4,2009/10,40,0.0,16,0
1,5,0,5,0.0,0,55909,44,12,0,0.0,3002,0.0,1086,0,0,0,0,0,5,2010/11,50,0.0,51,0
0,2,0,6,0.0,222,55909,52,14,1,0.0,3450,0.0,1297,0,0,0,0,0,6,2011/12,55,0.0,60,1
0,1,0,6,0.0,177,55909,45,10,0,0.0,4122,0.0,1020,0,0,0,0,0,7,2012/13,55,0.0,47,1
0,6,123,8,0.0,317,55909,46,25,1,0.0,4843,0.0,1939,0,0,0,0,0,8,2013/14,55,0.0,79,2
0,11,457,5,0.0,340,55909,53,24,4,0.0,5535,0.0,1878,0,0,0,1,0,9,2014/15,55,0.0,91,1
1,13,693,17,0.0,381,55909,66,31,0,0.0,6244,0.0,3150,1,0,0,0,0,10,2015/16,60,0.0,135,8
1,1,282,4,36.1,0,55909,58,16,1,47.4,6966,342.6,1217,0,0,0,0,0,11,2016/17,60,95.0,52,0
0,9,590,11,35.3,0,55909,57,24,4,101.2,7652,743.8,2535,0,0,0,0,0,12,2017/18,55,230.0,123,4
