assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,threat,total_points,yellow_cards
1,1,0,0,0.0,59949,45,3,0,0.0,0.0,108,0,0,0,0,0,2009/10,45,0.0,7,0
4,8,0,7,0.0,59949,52,27,4,0.0,0.0,2256,0,0,0,1,0,2010/11,45,0.0,116,4
0,0,0,2,0.0,59949,70,14,0,0.0,0.0,1127,0,0,0,0,0,2011/12,70,0.0,30,2
5,5,0,9,0.0,59949,46,22,0,0.0,0.0,2165,0,0,0,0,0,2012/13,50,0.0,74,4
2,20,229,15,0.0,59949,68,34,6,0.0,0.0,3228,1,0,0,0,0,2013/14,50,0.0,180,3
4,11,633,10,0.0,59949,68,43,3,0.0,0.0,3066,1,0,0,0,0,2014/15,70,0.0,130,5
3,8,519,8,0.0,59949,58,34,1,0.0,0.0,2383,0,0,0,0,0,2015/16,60,0.0,94,4
4,15,548,10,308.9,59949,56,28,4,120.3,596.0,2316,0,0,0,0,0,2016/17,55,297.0,133,3
1,0,198,4,113.7,59949,64,12,0,41.2,227.6,1035,0,0,0,0,0,2017/18,65,69.0,39,0
2,12,548,13,387.3,59949,52,30,2,117.6,515.2,2558,1,0,0,0,0,2018/19,55,274.0,125,1
