assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,1,86,100,100,2,48844,0,0,-2,2,0.0,0,0,1,1.8,3.0,8,David,2.0,3,0,7.7,1,False,75.8,0,0,0,0,380,,2018-04-29T20:01:18Z,48,0,0,0,48844.jpg,3.8,0,9,Ospina,0.2,False,13,a,1,3,0.0,19,3948,0,10172,0,0.4,4.0,Ospina,0
0,7,627,100,100,11,11334,0,0,-2,2,0.0,1,0,1,3.0,2.7,0,Petr,1.7,48,0,71.9,2,False,722.4,0,0,0,0,3039,,2018-04-22T12:01:20Z,53,0,0,1,11334.jpg,3.6,0,90,Cech,4.5,False,33,a,1,3,0.0,124,183262,0,294471,0,0.3,23.4,Cech,1
0,0,0,0,0,0,98980,0,0,0,0,0.0,0,0,1,0.0,0.0,0,Damian Emiliano,0.0,0,0,0.0,3,False,0.0,0,0,0,0,0,Season-long loan to Getafe,2017-08-03T08:35:02Z,40,0,0,0,98980.jpg,0.0,0,0,Martinez,0.6,False,26,u,1,3,0.0,0,1506,0,29335,0,0.0,0.0,Martinez,0
0,16,556,0,0,9,51507,0,0,0,0,123.8,3,0,2,0.0,0.0,0,Laurent,0.3,32,2,95.5,4,False,692.0,0,0,0,0,2225,Achilles injury - Unknown return date,2018-05-03T21:31:18Z,60,0,0,0,51507.jpg,4.0,0,0,Koscielny,1.5,False,6,i,1,3,137.0,100,205878,0,199153,0,0.1,16.7,Koscielny,4
0,2,81,100,100,0,17127,0,0,-3,3,3.0,1,0,2,1.2,1.2,0,Per,0.2,7,1,16.1,5,False,119.6,0,0,0,0,364,,2017-11-18T12:31:16Z,47,0,0,0,17127.jpg,2.7,0,0,Mertesacker,0.5,False,4,a,1,3,38.0,16,31711,0,46441,0,0.0,3.4,Mertesacker,0
0,0,0,0,0,0,158074,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Gabriel Armando,0.0,0,0,0.0,6,False,0.0,0,0,0,0,0,Joined Valencia on 18/8,2017-07-12T10:31:11Z,50,0,0,0,158074.jpg,0.0,0,0,de Abreu,0.1,False,5,u,1,3,0.0,0,368,0,2365,0,0.0,0.0,Gabriel,0
4,11,656,100,100,12,98745,0,0,-1,1,561.0,2,0,2,4.8,5.2,6,Héctor,4.2,44,2,160.1,7,False,554.0,0,0,0,0,3050,,2018-03-07T19:31:17Z,59,0,0,0,98745.jpg,3.8,0,0,Bellerín,10.3,False,24,a,1,3,484.0,132,748052,0,960552,0,0.7,22.4,Bellerín,5
0,0,0,0,0,0,80254,0,0,0,0,0.0,0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,9,False,0.0,0,0,0,0,0,Season-long loan to Birmingham,2017-08-22T14:57:50Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.2,False,25,u,1,3,0.0,0,751,0,13677,0,0.0,0.0,Jenkinson,0
2,15,604,100,100,10,38411,0,0,2,-2,238.7,3,0,2,3.2,3.0,1,Nacho,2.0,29,5,124.0,10,False,693.6,0,0,0,0,2241,,2018-02-25T19:31:19Z,57,0,0,0,38411.jpg,4.6,0,0,Monreal,8.0,False,18,a,1,3,305.0,130,1603695,0,1476893,0,0.4,22.8,Monreal,3
1,1,196,100,100,3,156074,0,0,-6,6,39.3,0,0,2,1.2,2.3,7,Rob,1.3,17,0,27.5,11,False,212.2,0,0,0,0,819,,2017-11-05T19:31:15Z,44,0,0,0,156074.jpg,2.3,0,0,Holding,0.7,False,16,a,1,3,24.0,27,29403,0,111188,0,0.3,6.1,Holding,3
