first_name,second_name,id
David,Ospina,1
Petr,Cech,2
Damian Emiliano,Martinez,3
Laurent,Koscielny,4
Per,Mertesacker,5
Gabriel Armando,de Abreu,6
Héctor,Bellerín,7
Carl,Jenkinson,9
Nacho,Monreal,10
Rob,Holding,11
Shkodran,Mustafi,12
Sead,Kolasinac,13
Mesut,Özil,16
Santiago,Cazorla,17
Aaron,Ramsey,18
Francis,Coquelin,20
Alex,Iwobi,21
Mohamed,Elneny,22
Granit,Xhaka,23
Jack,Wilshere,24
Danny,Welbeck,26
Lucas,Pérez,27
Alexandre,Lacazette,28
Henrikh,Mkhitaryan,281
Calum,Chambers,480
Reiss,Nelson,489
Ainsley,Maitland-Niles,546
Matt,Macey,559
Edward,Nketiah,560
Mathieu,Debuchy,564
Konstantinos,Mavropanos,595
Pierre-Emerick,Aubameyang,616
Joseph,Willock,634
Jordi,Osei-Tutu,644
Asmir,Begovic,29
Artur,Boruc,30
Adam,Federici,31
Simon,Francis,32
Steve,Cook,33
Charlie,Daniels,34
Adam,Smith,35
Tyrone,Mings,36
Bradley,Smith,37
Nathan,Aké,38
Harry,Arter,39
Marc,Pugh,40
Andrew,Surman,41
Junior,Stanislas,42
Dan,Gosling,43
Max,Gradel,44
Jordon,Ibe,45
Lewis,Cook,46
Ryan,Fraser,47
Callum,Wilson,48
Benik,Afobe,49
Lys,Mousset,50
Joshua,King,51
Jermain,Defoe,52
Aaron,Ramsdale,549
Jack,Simpson,570
Emerson,Hyndman,584
Connor,Mahoney,585
Matt,Butcher,588
Kyle,Taylor,602
Niki,Mäenpää,53
Mathew,Ryan,54
Lewis,Dunk,55
Shane,Duffy,56
Uwe,Hünemeier,57
Bruno,Saltor Grau,58
Gaëtan,Bong,59
Liam,Rosenior,60
Connor,Goldson,61
Anthony,Knockaert,62
Dale,Stephens,63
Beram,Kayal,64
Steve,Sidwell,65
Solomon,March,66
Jiri,Skalak,67
Oliver,Norwood,68
Jamie,Murphy,69
Pascal,Groß,70
Glenn,Murray,71
Tomer,Hemed,72
Sam,Baldock,73
Leonardo,Ulloa,210
Markus,Suttner,461
Isaiah,Brown,481
Davy,Pröpper,490
José Heriberto,Izquierdo Mena,517
Ezequiel,Schelotto,538
Tim,Krul,540
Jayson,Molumby,553
Jürgen,Locadia,604
Tom,Heaton,74
Paul,Robinson,75
Matthew,Lowton,76
Ben,Mee,77
Stephen,Ward,78
James,Tarkowski,79
Kevin,Long,80
Charlie,Taylor,81
Scott,Arfield,82
Dean,Marney,83
Johann Berg,Gudmundsson,84
Steven,Defour,85
Jeff,Hendrick,86
Robbie,Brady,87
Ashley,Westwood,88
Jonathan,Walters,89
Jack,Cork,90
Sam,Vokes,91
Ashley,Barnes,93
Aaron,Lennon,153
Nahki,Wells,185
Phil,Bardsley,334
Georges-Kévin,Nkoudou,392
Nick,Pope,469
Chris,Wood,518
Adam,Legzdins,545
Anders,Lindegaard,554
Fredrik,Ulvestad,575
Aiden,O'Neill,623
Dwight,McNeil,646
Olivier,Giroud,25
Thibaut,Courtois,94
Eduardo,dos Reis Carvalho,95
Willy,Caballero,96
César,Azpilicueta,97
Gary,Cahill,98
Marcos,Alonso,100
David,Luiz Moreira Marinho,101
Victor,Moses,102
Antonio,Rüdiger,103
Eden,Hazard,104
Cesc,Fàbregas,105
Willian,Borges Da Silva,106
Pedro,Rodríguez Ledesma,109
N'Golo,Kanté,111
Michy,Batshuayi,113
Diego,Da Silva Costa,114
Ross,Barkley,149
Kasey,Palmer,183
Daniel,Drinkwater,202
Tiemoué,Bakayoko,463
Andreas,Christensen,470
Charly,Musonda,471
Álvaro,Morata,472
Fikayo,Tomori,503
Kyle,Scott,504
Jeremie,Boga,509
Davide,Zappacosta,543
Ethan,Ampadu,558
Callum,Hudson-Odoi,583
Dujon,Sterling,600
Emerson,Palmieri dos Santos,614
Trevoh,Chalobah,632
Ruben,Loftus-Cheek,108
Wayne,Hennessey,115
Julian,Speroni,116
James,Tomkins,117
Scott,Dann,118
Joel,Ward,119
Martin,Kelly,120
Damien,Delaney,121
Pape,Souaré,122
Jeffrey,Schlupp,123
Patrick,van Aanholt,124
Jason,Puncheon,125
Wilfried,Zaha,126
James,McArthur,127
Chung-yong,Lee,128
Yohan,Cabaye,129
Bakary,Sako,130
Andros,Townsend,131
Luka,Milivojevic,132
Connor,Wickham,133
Christian,Benteke,134
Mamadou,Sakho,221
Timothy,Fosu-Mensah,269
Jairo,Riedewald,482
Jason,Lokilo,491
Olayinka Fredrick Oladotun,Ladapo,505
Sullay,Kaikai,515
Keshi,Anderson,528
Levi,Lumeka,544
Jordon,Mutch,552
Dion,Henry,555
Aaron,Wan-Bissaka,579
Jaroslaw,Jach,605
Erdal,Rakip,606
Alexander,Sørloth,620
Nya,Kirby,630
Diego,Cavalieri,633
James,Daly,638
Theo,Walcott,15
Jordan,Pickford,135
Joel,Robles,136
Maarten,Stekelenburg,137
Leighton,Baines,138
Seamus,Coleman,139
Phil,Jagielka,140
Matthew,Pennington,141
Ramiro,Funes Mori,142
Ashley,Williams,143
