first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
David,Ospina,0,0,19,380,3,0.0,75.8,0.0,1,86,7.7,2,0,0,0.2,48
Petr,Cech,0,0,124,3039,48,0.0,722.4,0.0,7,627,71.9,11,0,1,4.5,53
Damian Emiliano,Martinez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,40
Laurent,Koscielny,2,0,100,2225,32,123.8,692.0,137.0,16,556,95.5,9,0,4,1.5,60
Per,Mertesacker,1,0,16,364,7,3.0,119.6,38.0,2,81,16.1,0,0,0,0.5,47
Gabriel Armando,de Abreu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50
Héctor,Bellerín,2,4,132,3050,44,561.0,554.0,484.0,11,656,160.1,12,0,5,10.3,59
Carl,Jenkinson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45
Nacho,Monreal,5,2,130,2241,29,238.7,693.6,305.0,15,604,124.0,10,0,3,8.0,57
Rob,Holding,0,1,27,819,17,39.3,212.2,24.0,1,196,27.5,3,0,3,0.7,44
Shkodran,Mustafi,3,1,109,2272,30,129.9,836.6,202.0,13,610,117.0,10,0,6,4.2,54
Sead,Kolasinac,2,4,108,2146,30,334.9,443.2,404.0,6,510,118.3,10,0,3,6.1,58
Mesut,Özil,4,9,112,2161,36,1287.5,640.6,555.0,11,506,248.6,8,0,4,2.1,93
Santiago,Cazorla,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,69
Aaron,Ramsey,7,10,130,1844,25,478.3,631.2,734.0,12,503,184.2,9,0,0,4.5,68
Francis,Coquelin,0,0,7,164,6,16.9,22.2,8.0,0,35,4.8,0,0,0,0.5,43
Alex,Iwobi,3,5,89,1827,26,592.9,430.0,635.0,2,426,165.6,9,0,1,1.0,51
Mohamed,Elneny,0,1,22,865,12,194.4,138.2,92.0,0,156,42.5,3,1,3,3.0,42
Granit,Xhaka,1,8,109,3259,50,822.8,753.4,378.0,3,593,195.3,12,0,10,7.0,51
Jack,Wilshere,1,3,46,1185,16,281.8,258.4,169.0,2,236,71.0,4,0,6,0.7,50
Danny,Welbeck,5,2,70,1178,21,212.8,309.8,435.0,6,249,96.0,4,0,1,1.2,73
Lucas,Pérez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,74
Alexandre,Lacazette,14,5,138,2197,28,566.0,725.6,1291.0,11,543,258.0,10,0,1,7.6,103
Henrikh,Mkhitaryan,3,9,107,1712,17,727.8,506.8,400.0,9,411,163.8,12,0,2,7.5,77
Calum,Chambers,0,0,23,864,14,40.0,227.8,134.0,0,171,40.2,2,0,1,0.4,47
Reiss,Nelson,0,0,5,144,3,29.7,12.0,11.0,0,23,5.3,0,0,0,0.0,47
Ainsley,Maitland-Niles,0,0,25,908,16,141.3,168.4,67.0,0,160,37.8,3,0,1,0.1,45
Matt,Macey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Edward,Nketiah,0,0,3,17,1,1.9,5.0,17.0,0,10,2.3,0,0,0,0.0,50
Mathieu,Debuchy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Konstantinos,Mavropanos,0,0,4,194,5,1.3,52.2,2.0,0,41,5.5,1,1,0,0.0,42
Pierre-Emerick,Aubameyang,10,4,87,1056,15,207.1,484.0,580.0,12,354,127.1,4,0,0,14.0,108
Joseph,Willock,0,0,3,81,2,5.8,8.2,4.0,0,8,1.8,0,0,0,0.0,45
Jordi,Osei-Tutu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
Asmir,Begovic,0,0,112,3420,61,20.0,790.8,0.0,6,631,80.8,6,0,2,4.1,45
Artur,Boruc,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.3,41
Adam,Federici,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.2,40
Simon,Francis,0,1,56,2708,47,418.4,726.8,163.0,3,491,131.0,4,1,8,1.3,43
Steve,Cook,2,1,83,2764,53,65.6,870.0,271.0,9,495,120.6,5,0,5,1.1,46
Charlie,Daniels,1,3,94,3001,50,479.7,582.2,196.0,4,587,125.9,6,0,0,6.6,47
Adam,Smith,1,3,56,2067,38,345.5,455.0,144.0,3,376,94.5,2,0,6,0.4,48
Tyrone,Mings,0,0,3,201,5,14.8,46.6,10.0,0,40,7.2,0,0,1,0.2,42
Bradley,Smith,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.2,39
Nathan,Aké,2,3,102,3352,59,115.1,932.4,287.0,8,642,133.5,6,0,5,6.1,50
Harry,Arter,1,0,27,959,13,76.1,146.0,69.0,0,156,29.2,3,0,4,0.3,47
Marc,Pugh,0,0,32,974,17,195.5,99.2,224.0,0,97,51.6,5,0,2,0.1,47
Andrew,Surman,2,5,82,1851,29,261.1,458.0,121.0,9,363,84.0,5,0,2,3.1,43
Junior,Stanislas,5,3,75,1285,22,377.2,394.8,483.0,7,285,125.1,2,0,1,0.3,57
Dan,Gosling,2,1,59,1941,41,262.2,396.4,274.0,4,254,93.3,1,0,8,0.1,48
Max,Gradel,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Jordon,Ibe,2,6,85,1988,33,602.7,362.0,610.0,5,289,157.3,4,0,1,1.0,46
Lewis,Cook,0,2,58,2234,42,423.3,456.4,126.0,0,337,100.7,3,0,5,1.2,43
Ryan,Fraser,5,3,97,2003,38,646.6,492.8,413.0,13,390,155.0,2,0,0,0.7,51
Callum,Wilson,8,2,102,1981,33,288.4,392.2,799.0,13,282,147.5,6,0,0,4.5,56
Benik,Afobe,0,1,24,534,12,62.6,33.8,219.0,0,73,31.3,0,0,0,0.2,57
Lys,Mousset,2,0,36,581,16,69.5,120.4,252.0,3,106,43.9,1,0,1,0.2,49
Joshua,King,8,4,110,2450,38,556.7,577.0,902.0,10,381,203.7,7,0,3,1.9,70
Jermain,Defoe,4,2,60,1075,21,144.9,209.4,539.0,5,191,88.9,2,0,1,1.4,76
Aaron,Ramsdale,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
Jack,Simpson,0,0,1,71,2,0.0,6.2,0.0,0,10,0.6,0,0,0,0.2,40
Emerson,Hyndman,0,0,1,58,1,12.5,5.0,0.0,0,6,1.8,0,0,0,0.0,45
Connor,Mahoney,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Matt,Butcher,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Kyle,Taylor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Niki,Mäenpää,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.9,39
Mathew,Ryan,0,0,146,3420,54,0.0,911.6,0.0,13,726,91.1,10,0,0,3.4,46
Lewis,Dunk,1,1,97,3420,54,147.8,1002.8,425.0,7,637,157.9,10,0,7,2.9,45
Shane,Duffy,0,2,100,3292,52,98.9,1027.6,361.0,7,614,148.9,10,0,8,2.9,46
Uwe,Hünemeier,0,0,1,17,1,0.3,7.0,2.0,0,5,0.9,0,0,0,5.6,38
