assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
0,0,0,0,0.0,0,28541,55,0,0,0.0,1034,0.0,18,0,0,0,0,0,2,2007/08,55,0.0,1,0
1,0,0,0,0.0,0,28541,47,4,1,0.0,1865,0.0,361,0,0,0,0,0,3,2008/09,55,0.0,18,2
6,4,0,0,0.0,0,28541,54,28,4,0.0,2490,0.0,1918,0,0,0,0,0,4,2009/10,60,0.0,84,3
1,0,0,0,0.0,0,28541,56,3,0,0.0,3131,0.0,225,0,0,0,0,0,5,2010/11,60,0.0,8,0
2,3,0,2,0.0,73,28541,56,9,1,0.0,3918,0.0,638,0,0,0,0,0,6,2011/12,60,0.0,29,3
0,0,0,1,0.0,33,28541,49,2,1,0.0,4638,0.0,264,0,0,0,0,0,7,2012/13,55,0.0,17,0
4,7,85,9,0.0,330,28541,52,56,6,0.0,5268,0.0,2764,0,0,0,0,0,8,2013/14,55,0.0,108,4
1,5,149,2,0.0,149,28541,50,24,4,0.0,6065,0.0,1174,0,0,0,0,0,9,2014/15,55,0.0,51,5
0,0,11,1,0.0,12,28541,53,8,0,0.0,6706,0.0,362,0,0,0,0,0,10,2015/16,55,0.0,12,1
0,0,56,0,25.9,0,28541,44,4,1,15.2,7415,42.4,165,0,0,0,0,0,11,2016/17,45,84.0,16,0
