assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
1,4,0,0,0.0,0,37742,45,35,3,0.0,1218,0.0,1605,0,0,0,0,0,2,2007/08,50,0.0,61,1
1,3,0,0,0.0,0,37742,47,22,1,0.0,1743,0.0,1468,0,0,0,0,0,3,2008/09,50,0.0,53,3
0,2,0,0,0.0,0,37742,48,43,3,0.0,2501,0.0,2498,0,0,0,1,0,4,2009/10,50,0.0,79,4
1,3,0,2,0.0,0,37742,47,25,1,0.0,3147,0.0,1632,0,0,0,1,0,5,2010/11,50,0.0,46,1
1,6,0,11,0.0,401,37742,55,38,1,0.0,3508,0.0,2901,1,0,0,1,0,6,2011/12,55,0.0,108,2
0,0,0,0,0.0,-2,37742,50,2,0,0.0,4197,0.0,90,0,0,0,0,0,7,2012/13,55,0.0,1,0
1,3,44,2,0.0,134,37742,46,24,1,0.0,4903,0.0,941,1,0,0,2,0,8,2013/14,50,0.0,23,1
0,2,177,3,0.0,108,37742,46,16,0,0.0,5569,0.0,990,0,0,0,0,0,9,2014/15,50,0.0,28,2
2,5,460,8,0.0,231,37742,42,31,0,0.0,6275,0.0,2008,0,0,0,1,0,10,2015/16,45,0.0,72,3
0,1,342,4,31.5,0,37742,43,36,2,71.8,7001,443.2,1910,0,0,0,0,0,11,2016/17,45,243.0,57,2
0,0,35,1,0.9,0,37742,42,3,0,5.0,7700,47.4,151,0,0,0,0,0,12,2017/18,45,2.0,7,0
