season,code,web_name,position,team_name,total_points,now_cost_m,selected_by_percent,minutes,archetype_id,archetype_name,local_cluster,viz_x,viz_y,goals_scored,assists,expected_goals,expected_assists,expected_goal_involvements,clean_sheets,goals_conceded,expected_goals_conceded,saves,bonus,bps,yellow_cards,red_cards,influence,creativity,threat,ict_index,points_per_90,goals_per_90,assists_per_90,xg_per_90,xa_per_90,xgi_per_90
2023-24,58621,Walker,DEF,Man City,123,5.5,15.1,2766,-1,Unclassified,-1,6.845492,5.8163786,0,5,0.4,3.2,3.6,10,29,28.61,0,13,633,2,0,465.4,534.1,126.0,112.6,4.002169197396963,0.0,0.1626898047722342,0.0130151843817787,0.1041214750542299,0.1171366594360086
2023-24,79934,Norwood,MID,Sheffield Utd,42,4.8,0.0,1429,-1,Unclassified,-1,6.8850474,7.2363005,1,0,1.1,1.23,2.33,0,47,35.98,0,3,232,8,0,311.2,275.3,82.0,66.8,2.64520643806858,0.0629811056682995,0.0,0.0692792162351294,0.0774667599720084,0.1467459762071378
2023-24,80801,Gana,MID,Everton,73,4.8,0.1,1885,-1,Unclassified,-1,6.925346,6.6389294,4,0,1.25,0.82,2.07,7,25,29.41,0,10,337,8,0,406.8,237.1,154.0,79.7,3.485411140583554,0.1909814323607427,0.0,0.059681697612732,0.0391511936339522,0.0988328912466843
2023-24,82691,Baldock,DEF,Sheffield Utd,21,3.8,4.0,968,-1,Unclassified,-1,4.928969,7.5230117,0,2,0.03,0.63,0.66,0,21,22.11,0,2,117,4,0,173.6,102.6,21.0,29.6,1.9524793388429755,0.0,0.1859504132231405,0.0027892561983471,0.0585743801652892,0.0613636363636363
2023-24,95658,Maguire,DEF,Man Utd,73,4.3,1.3,1650,-1,Unclassified,-1,5.8799324,7.1202974,2,4,1.94,0.97,2.91,4,29,36.68,0,6,351,3,0,493.4,90.9,192.0,77.7,3.981818181818182,0.109090909090909,0.2181818181818181,0.1058181818181818,0.0529090909090909,0.1587272727272727
2023-24,96784,Clark,MID,Luton,44,4.8,0.0,1297,-1,Unclassified,-1,5.6687927,7.1772876,1,1,1.1,1.19,2.29,1,41,31.01,0,3,156,4,0,198.8,187.5,177.0,56.5,3.053199691595991,0.069390902081727,0.069390902081727,0.0763299922898997,0.0825751734772552,0.1589051657671549
2023-24,106468,Alex Moreno,DEF,Aston Villa,49,4.9,1.1,1024,-1,Unclassified,-1,4.7553964,7.6016726,2,0,1.11,0.98,2.09,3,20,18.5,0,5,211,2,0,217.8,156.9,152.0,52.7,4.306640625,0.17578125,0.0,0.09755859375,0.0861328125,0.18369140625
2023-24,126184,Aké,DEF,Man City,99,5.0,5.2,2039,-1,Unclassified,-1,6.3493657,5.8487916,2,3,2.47,1.14,3.61,6,20,21.14,0,6,483,0,0,447.2,197.7,249.0,89.7,4.369789112309956,0.0882785679254536,0.1324178518881804,0.1090240313879352,0.0503187837175085,0.1593428151054438
2023-24,156658,Burke,DEF,Luton,40,4.0,0.2,1659,-1,Unclassified,-1,6.1549587,7.2066464,0,4,1.86,0.92,2.78,1,37,36.53,0,2,260,5,0,406.4,172.4,131.0,70.9,2.16998191681736,0.0,0.2169981916817359,0.1009041591320072,0.0499095840867992,0.1508137432188065
2023-24,166477,Castagne,DEF,Fulham,105,4.5,1.6,2630,-1,Unclassified,-1,6.975405,5.9824786,1,3,1.29,2.06,3.35,9,40,41.07,0,7,510,3,0,494.4,295.0,229.0,102.1,3.593155893536122,0.0342205323193916,0.1026615969581749,0.0441444866920152,0.0704942965779467,0.1146387832699619
2023-24,171314,Rúben,DEF,Man City,88,5.5,7.2,2557,-1,Unclassified,-1,6.4923315,5.818425,0,0,1.38,1.93,3.31,9,28,25.12,0,3,513,0,0,578.4,208.5,225.0,101.5,3.097379741885022,0.0,0.0,0.0485725459522878,0.0679311693390692,0.116503715291357
2023-24,184029,Ødegaard,MID,Arsenal,186,8.6,18.0,3098,-1,Unclassified,-1,12.484863,7.013474,8,11,7.53,10.16,17.69,19,23,25.26,0,26,703,2,0,910.4,1499.4,757.0,317.0,5.40348612007747,0.2324080051646223,0.3195610071013557,0.2187540348612008,0.2951581665590703,0.5139122014202712
2023-24,184667,Lindelof,DEF,Man Utd,62,4.5,0.2,1328,-1,Unclassified,-1,4.7489896,6.025833,1,1,0.69,0.43,1.12,5,16,25.99,0,7,291,2,0,263.8,125.9,105.0,49.6,4.201807228915662,0.0677710843373494,0.0677710843373494,0.046762048192771,0.0291415662650602,0.0759036144578313
2023-24,191866,Ajer,DEF,Brentford,68,4.4,0.7,1826,-1,Unclassified,-1,6.3226595,7.29854,2,1,1.22,2.68,3.9,5,33,29.41,0,3,323,5,0,406.8,166.6,223.0,79.7,3.3515881708652797,0.0985761226725082,0.0492880613362541,0.06013143483023,0.132092004381161,0.192223439211391
2023-24,198869,White,DEF,Arsenal,182,6.1,23.3,2987,-1,Unclassified,-1,7.272718,5.5179286,4,5,1.27,3.66,4.93,18,26,24.95,0,14,776,8,0,765.8,589.4,234.0,159.0,5.483762972882491,0.1205222631402745,0.1506528289253431,0.0382658185470371,0.1102778707733511,0.1485436893203883
2023-24,204968,Yates,MID,Nott'm Forest,59,4.8,0.0,1979,-1,Unclassified,-1,6.131831,7.1586227,1,1,2.78,0.59,3.37,1,38,31.96,0,1,235,6,0,330.4,133.8,258.0,72.1,2.6831733198585144,0.045477513895907,0.045477513895907,0.1264274886306215,0.0268317331985851,0.1532592218292066
