season,local_cluster,archetype_id,size,archetype_name
2023-24,0,6,41,Balanced defender
2023-24,1,4,27,Goalkeeper
2023-24,2,3,26,Attacking / ball-playing defender
2023-24,3,7,17,Elite playmaker
2023-24,4,1,44,Premium attacker
2023-24,5,3,25,Attacking / ball-playing defender
2023-24,6,5,22,Creative midfielder
2023-24,7,0,18,Elite goalscorer
2023-24,8,2,35,Rotation midfielder
2023-24,9,8,23,Defensive / rotation defender
2023-24,10,8,31,Defensive / rotation defender
2024-25,0,4,20,Goalkeeper
2024-25,1,6,33,Balanced defender
2024-25,2,5,36,Creative midfielder
2024-25,3,0,40,Elite goalscorer
2024-25,4,8,39,Defensive / rotation defender
2024-25,5,8,49,Defensive / rotation defender
2024-25,6,2,17,Rotation midfielder
2024-25,7,1,26,Premium attacker
2024-25,8,3,16,Attacking / ball-playing defender
2024-25,9,3,36,Attacking / ball-playing defender
2025-26,0,4,21,Goalkeeper
2025-26,1,6,31,Balanced defender
2025-26,2,3,59,Attacking / ball-playing defender
2025-26,3,2,23,Rotation midfielder
2025-26,4,1,27,Premium attacker
2025-26,5,1,36,Premium attacker
2025-26,6,0,32,Elite goalscorer
2025-26,7,2,22,Rotation midfielder
2025-26,8,2,27,Rotation midfielder
2025-26,9,8,19,Defensive / rotation defender
2025-26,10,8,16,Defensive / rotation defender
