assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
1,0,0,0,0.0,0,17997,48,11,0,0.0,244,0.0,1145,0,0,0,0,0,1,2006/07,50,0.0,46,1
0,1,0,0,0.0,0,17997,41,10,0,0.0,1170,0.0,990,0,0,0,0,0,2,2007/08,45,0.0,34,3
0,1,0,0,0.0,0,17997,43,40,0,0.0,1801,0.0,2459,0,0,0,0,0,3,2008/09,45,0.0,57,11
0,0,0,0,0.0,0,17997,43,34,0,0.0,2468,0.0,1704,0,0,0,0,0,4,2009/10,45,0.0,38,8
2,5,0,13,0.0,0,17997,49,45,3,0.0,3109,0.0,2820,0,0,0,0,0,5,2010/11,45,0.0,123,5
3,4,0,9,0.0,267,17997,47,32,1,0.0,3491,0.0,2474,0,0,0,1,0,6,2011/12,50,0.0,97,3
0,1,0,1,0.0,86,17997,44,22,1,0.0,4180,0.0,984,0,0,0,0,0,7,2012/13,50,0.0,26,5
1,7,95,7,0.0,276,17997,43,41,2,0.0,4884,0.0,2245,2,0,0,0,0,8,2013/14,45,0.0,71,9
2,7,326,5,0.0,271,17997,49,29,0,0.0,5584,0.0,2082,0,0,0,0,0,9,2014/15,50,0.0,66,6
2,2,149,0,0.0,107,17997,42,18,0,0.0,6290,0.0,817,0,0,0,0,0,10,2015/16,45,0.0,20,1
0,0,174,3,146.7,0,17997,42,17,0,35.4,6997,155.0,1168,0,0,0,1,0,11,2016/17,45,51.0,27,4
0,0,193,4,117.5,0,17997,40,13,0,38.3,7683,229.4,1125,0,0,0,0,0,12,2017/18,45,35.0,33,5
