assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
0,0,0,0,0.0,78830,50,0.00000,0.00000,0.00000,0.00000,0,0,0.0,0.0,0,0,0,0,0,0,2011/12,50,0,0.0,0,0
0,0,0,0,0.0,78830,43,0.00000,0.00000,0.00000,0.00000,4,0,0.0,0.0,141,0,0,0,0,0,2012/13,45,0,0.0,5,0
0,3,32,2,0.0,78830,44,0.00000,0.00000,0.00000,0.00000,6,3,0.0,0.0,500,1,0,0,0,0,2013/14,45,0,0.0,28,0
7,32,672,6,0.0,78830,60,0.00000,0.00000,0.00000,0.00000,39,21,0.0,0.0,2581,1,1,0,0,0,2014/15,50,0,0.0,191,4
3,33,748,14,0.0,78830,102,0.00000,0.00000,0.00000,0.00000,33,25,0.0,0.0,3363,1,0,0,0,0,2015/16,95,0,0.0,211,5
7,33,920,14,548.4,78830,119,0.00000,0.00000,0.00000,0.00000,19,29,336.0,1279.0,2523,0,1,0,0,0,2016/17,110,0,1530.0,224,3
2,31,781,15,502.1,78830,131,0.00000,0.00000,0.00000,0.00000,34,29,407.4,1214.4,3074,0,1,0,0,0,2017/18,125,0,2355.0,217,5
6,24,561,9,430.0,78830,126,0.00000,0.00000,0.00000,0.00000,31,17,261.3,824.6,2423,0,0,0,0,0,2018/19,125,0,1359.0,160,5
2,26,587,6,391.0,78830,110,0.00000,0.00000,0.00000,0.00000,36,18,230.6,843.8,2588,0,0,0,0,0,2019/20,110,0,1071.0,158,4
14,40,880,12,659.1,78830,119,0.00000,0.00000,0.00000,0.00000,39,23,355.9,1318.2,3083,0,0,0,0,0,2020/21,105,0,1585.0,242,1
11,23,684,14,674.0,78830,125,0.00000,0.00000,0.00000,0.00000,40,17,350.4,1036.4,3231,0,0,0,0,0,2021/22,125,0,1798.0,192,5
