assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
0,0,0,0,0.0,97299,45,0.00000,0.00000,0.00000,0.00000,0,0,0.0,0.0,0,0,0,0,0,0,2012/13,45,0,0.0,0,0
0,6,102,6,0.0,97299,42,0.00000,0.00000,0.00000,0.00000,19,0,0.0,0.0,1372,0,0,0,0,0,2013/14,45,0,0.0,59,1
0,11,476,7,0.0,97299,52,0.00000,0.00000,0.00000,0.00000,25,1,0.0,0.0,2043,0,0,0,0,0,2014/15,55,0,0.0,82,1
0,4,616,8,0.0,97299,54,0.00000,0.00000,0.00000,0.00000,45,0,0.0,0.0,2779,0,0,0,0,0,2015/16,55,0,0.0,82,3
0,4,435,4,78.0,97299,46,0.00000,0.00000,0.00000,0.00000,29,0,69.7,441.4,2014,0,0,0,0,0,2016/17,50,0,174.0,59,1
0,5,334,9,26.3,97299,53,0.00000,0.00000,0.00000,0.00000,11,0,43.2,283.4,1301,0,0,0,0,0,2017/18,55,0,120.0,70,0
0,9,431,9,115.5,97299,52,0.00000,0.00000,0.00000,0.00000,15,0,54.1,376.6,1761,0,0,0,0,0,2018/19,55,0,49.0,83,1
0,0,231,3,53.0,97299,53,0.00000,0.00000,0.00000,0.00000,16,0,33.7,216.4,1118,0,0,0,0,0,2019/20,55,0,66.0,34,0
0,11,531,14,79.8,97299,51,0.00000,0.00000,0.00000,0.00000,12,4,79.0,520.0,1933,0,0,0,1,0,2020/21,50,0,192.0,128,0
0,4,290,9,79.7,97299,52,0.00000,0.00000,0.00000,0.00000,6,1,44.4,219.8,1117,0,0,0,0,0,2021/22,55,0,145.0,70,0
