assists,bonus,bps,clean_sheets,clearances_blocks_interceptions,creativity,defensive_contribution,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,recoveries,red_cards,saves,season_name,start_cost,starts,tackles,threat,total_points,yellow_cards
0,5,161,1,0,0.0,0,75115,53,0.00,0.00,0.00,0.00,15,5,0.0,0.0,771,0,0,0,0,0,0,2015/16,55,0,0,0.0,46,0
1,2,170,6,0,125.7,0,75115,60,0.00,0.00,0.00,0.00,25,6,82.2,229.0,1361,0,0,0,0,0,0,2016/17,65,0,0,487.0,63,0
2,13,282,6,0,288.4,0,75115,56,0.00,0.00,0.00,0.00,33,8,147.5,392.2,1981,0,0,0,0,0,0,2017/18,60,0,0,799.0,102,0
12,22,525,9,0,388.4,0,75115,69,0.00,0.00,0.00,0.00,47,14,225.0,737.8,2528,0,1,0,0,0,0,2018/19,60,0,0,1137.0,168,3
6,8,321,4,0,391.1,0,75115,74,0.00,0.00,0.00,0.00,53,8,162.6,397.4,2906,0,0,0,0,0,0,2019/20,80,0,0,848.0,116,9
6,22,409,5,0,230.4,0,75115,65,0.00,0.00,0.00,0.00,37,12,154.7,557.4,2081,0,0,0,0,0,0,2020/21,65,0,0,761.0,134,2
0,14,220,3,0,127.3,0,75115,71,0.00,0.00,0.00,0.00,32,8,92.4,319.8,1386,0,0,0,0,0,0,2021/22,75,0,0,494.0,75,4
6,20,526,10,0,271.3,0,75115,73,2.11,18.54,16.43,21.93,16,18,200.9,722.2,1870,0,0,0,0,0,0,2022/23,75,21,0,1022.0,157,4
1,4,246,6,0,110.3,0,75115,78,0.54,9.50,8.96,13.12,15,9,103.2,366.2,981,0,0,0,0,0,0,2023/24,80,9,0,563.0,69,3
0,0,42,0,0,42.2,15,75115,69,0.09,0.45,0.36,6.07,7,0,12.1,13.0,355,0,0,0,0,0,0,2024/25,70,2,0,71.0,19,1
