team_id,gw,points,bench,gw_rank,transfers,hits,total_points,overall_ank,team_value,chip
118122,1,115,8,767,0,0,115,767,100.0,3xc
118122,2,105,17,73699,0,0,220,13,100.0,wildcard
118122,3,72,7,109023,0,0,292,1,100.7,freehit
118122,4,102,0,16199,1,0,394,1,100.9,
3036490,1,117,0,509,0,0,117,509,100.0,3xc
3036490,2,100,0,133630,1,0,217,30,100.2,
3036490,3,68,2,201336,0,0,285,3,100.6,freehit
3036490,4,97,2,31382,0,0,382,2,100.5,
1065298,1,97,1,22272,0,0,97,22272,100.0,
1065298,2,103,6,91872,0,0,200,487,99.8,
1065298,3,47,5,2498896,2,0,247,661,100.2,
1065298,4,128,1,144,1,0,375,3,100.4,
1104697,1,84,1,175178,0,0,84,175178,100.0,
1104697,2,118,8,15361,1,0,202,386,99.9,
1104697,3,58,3,794099,1,0,260,84,100.6,
1104697,4,113,3,2362,0,0,373,4,100.7,
4586616,1,93,6,43727,0,0,93,43727,100.0,
4586616,2,109,5,49460,1,0,202,386,100.1,
4586616,3,52,0,1532795,1,0,254,243,100.7,
4586616,4,117,0,1287,1,0,371,5,101.1,
2935529,1,107,0,3647,0,0,107,3647,100.0,
2935529,2,107,1,62505,1,0,214,56,100.0,
2935529,3,51,0,1692936,1,0,265,36,100.7,
2935529,4,103,16,13782,1,0,368,6,101.0,
2587714,1,73,4,638110,0,0,73,638110,100.0,
2587714,2,116,16,20282,1,0,189,2572,100.0,
2587714,3,69,-2,173538,0,0,258,111,100.4,
2587714,4,109,14,5158,1,0,367,7,100.6,
780039,1,82,10,230928,0,0,82,230928,100.0,
780039,2,131,10,1996,1,0,213,69,100.1,
780039,3,38,9,4580037,1,0,251,361,100.9,
780039,4,112,15,3092,1,0,363,8,101.0,
3077344,1,95,1,31406,0,0,95,31406,100.0,
3077344,2,114,5,26407,1,0,209,128,100.0,
3077344,3,47,4,2446138,1,0,256,171,100.7,
3077344,4,106,2,8460,1,0,362,9,100.8,
1580436,1,70,7,844893,0,0,70,844893,100.0,
1580436,2,114,9,26407,1,0,184,4982,99.9,
1580436,3,51,1,1692936,1,0,235,3405,100.3,
1580436,4,126,0,227,1,0,361,10,100.4,
