code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,pulse_id,started,stats,team_a,team_a_difficulty,team_a_score,team_h,team_h_difficulty,team_h_score
2128286,,False,False,379,,0,False,58896,,[],13,3,,4,4,
2128290,,False,False,380,,0,False,58900,,[],2,5,,12,2,
2128288,1.0,True,True,2,2020-09-12T11:30:00Z,90,False,58898,True,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 4}, {'value': 1, 'element': 6}, {'value': 1, 'element': 494}], 'h': []}, {'identifier': 'assists', 'a': [{'value': 3, 'element': 478}], 'h': []}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 4}, {'value': 1, 'element': 11}], 'h': [{'value': 1, 'element': 175}, {'value': 1, 'element': 178}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 2, 'element': 8}], 'h': [{'value': 2, 'element': 186}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 494}, {'value': 2, 'element': 478}, {'value': 1, 'element': 6}, {'value': 1, 'element': 8}], 'h': []}, {'identifier': 'bps', 'a': [{'value': 37, 'element': 494}, {'value': 35, 'element': 478}, {'value': 29, 'element': 6}, {'value': 29, 'element': 8}, {'value': 28, 'element': 16}, {'value': 25, 'element': 17}, {'value': 23, 'element': 11}, {'value': 21, 'element': 15}, {'value': 19, 'element': 4}, {'value': 15, 'element': 526}, {'value': 11, 'element': 9}, {'value': 6, 'element': 501}, {'value': 3, 'element': 18}, {'value': 3, 'element': 22}], 'h': [{'value': 16, 'element': 176}, {'value': 14, 'element': 373}, {'value': 12, 'element': 178}, {'value': 12, 'element': 182}, {'value': 12, 'element': 525}, {'value': 11, 'element': 175}, {'value': 11, 'element': 186}, {'value': 10, 'element': 187}, {'value': 7, 'element': 180}, {'value': 4, 'element': 181}, {'value': 4, 'element': 191}, {'value': 3, 'element': 184}, {'value': 3, 'element': 188}, {'value': -2, 'element': 190}]}]",1,2,3.0,8,3,0.0
2128287,1.0,True,True,1,2020-09-12T14:00:00Z,90,False,58897,True,"[{'identifier': 'goals_scored', 'a': [], 'h': [{'value': 1, 'element': 141}]}, {'identifier': 'assists', 'a': [], 'h': [{'value': 1, 'element': 137}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 375}], 'h': [{'value': 1, 'element': 131}, {'value': 1, 'element': 142}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 2, 'element': 363}], 'h': [{'value': 5, 'element': 128}]}, {'identifier': 'bonus', 'a': [], 'h': [{'value': 3, 'element': 128}, {'value': 2, 'element': 137}, {'value': 1, 'element': 486}]}, {'identifier': 'bps', 'a': [{'value': 19, 'element': 369}, {'value': 17, 'element': 363}, {'value': 15, 'element': 362}, {'value': 15, 'element': 370}, {'value': 13, 'element': 364}, {'value': 12, 'element': 367}, {'value': 12, 'element': 375}, {'value': 11, 'element': 376}, {'value': 5, 'element': 365}, {'value': 4, 'element': 361}, {'value': 4, 'element': 379}, {'value': 4, 'element': 382}, {'value': 3, 'element': 377}, {'value': 1, 'element': 366}], 'h': [{'value': 31, 'element': 128}, {'value': 26, 'element': 137}, {'value': 24, 'element': 486}, {'value': 23, 'element': 146}, {'value': 22, 'element': 134}, {'value': 18, 'element': 141}, {'value': 14, 'element': 130}, {'value': 6, 'element': 138}, {'value': 5, 'element': 131}, {'value': 3, 'element': 133}, {'value': 3, 'element': 142}, {'value': 3, 'element': 489}, {'value': -7, 'element': 140}]}]",16,2,0.0,6,3,1.0
2128289,1.0,True,True,3,2020-09-12T16:30:00Z,90,False,58899,True,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 198}, {'value': 1, 'element': 202}, {'value': 1, 'element': 203}], 'h': [{'value': 3, 'element': 254}, {'value': 1, 'element': 250}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 200}, {'value': 1, 'element': 204}, {'value': 1, 'element': 205}], 'h': [{'value': 1, 'element': 253}, {'value': 1, 'element': 255}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [], 'h': [{'value': 1, 'element': 249}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 213}], 'h': []}, {'identifier': 'bonus', 'a': [{'value': 2, 'element': 198}, {'value': 1, 'element': 202}], 'h': [{'value': 3, 'element': 254}]}, {'identifier': 'bps', 'a': [{'value': 33, 'element': 198}, {'value': 28, 'element': 202}, {'value': 24, 'element': 204}, {'value': 23, 'element': 203}, {'value': 21, 'element': 200}, {'value': 20, 'element': 213}, {'value': 19, 'element': 211}, {'value': 18, 'element': 205}, {'value': 15, 'element': 197}, {'value': 14, 'element': 491}, {'value': 8, 'element': 193}, {'value': 6, 'element': 210}, {'value': 5, 'element': 206}], 'h': [{'value': 69, 'element': 254}, {'value': 20, 'element': 255}, {'value': 19, 'element': 244}, {'value': 19, 'element': 250}, {'value': 14, 'element': 251}, {'value': 13, 'element': 253}, {'value': 13, 'element': 260}, {'value': 10, 'element': 249}, {'value': 10, 'element': 259}, {'value': 9, 'element': 243}, {'value': 9, 'element': 252}, {'value': 2, 'element': 246}, {'value': 2, 'element': 261}, {'value': 2, 'element': 263}]}]",10,5,3.0,11,2,4.0
2128293,1.0,True,True,6,2020-09-12T19:00:00Z,90,False,58903,True,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 485}, {'value': 1, 'element': 506}], 'h': []}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 339}, {'value': 1, 'element': 485}], 'h': []}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 332}, {'value': 1, 'element': 336}], 'h': [{'value': 1, 'element': 436}, {'value': 1, 'element': 438}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 3, 'element': 325}], 'h': []}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 485}, {'value': 2, 'element': 506}, {'value': 1, 'element': 513}], 'h': []}, {'identifier': 'bps', 'a': [{'value': 41, 'element': 485}, {'value': 32, 'element': 506}, {'value': 31, 'element': 513}, {'value': 27, 'element': 323}, {'value': 27, 'element': 332}, {'value': 26, 'element': 325}, {'value': 21, 'element': 328}, {'value': 13, 'element': 339}, {'value': 12, 'element': 321}, {'value': 12, 'element': 336}, {'value': 7, 'element': 338}, {'value': 4, 'element': 340}, {'value': 3, 'element': 320}, {'value': 3, 'element': 480}], 'h': [{'value': 15, 'element': 448}, {'value': 15, 'element': 451}, {'value': 14, 'element': 432}, {'value': 14, 'element': 438}, {'value': 11, 'element': 435}, {'value': 9, 'element': 431}, {'value': 8, 'element': 427}, {'value': 8, 'element': 450}, {'value': 7, 'element': 449}, {'value': 5, 'element': 440}, {'value': 5, 'element': 445}, {'value': 2, 'element': 441}, {'value': -1, 'element': 436}]}]",14,2,2.0,19,2,0.0
2128292,1.0,True,True,5,2020-09-13T13:00:00Z,90,False,58902,True,"[{'identifier': 'goals_scored', 'a': [{'value': 2, 'element': 224}, {'value': 1, 'element': 498}], 'h': []}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 225}, {'value': 1, 'element': 239}], 'h': []}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 239}], 'h': [{'value': 1, 'element': 419}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 1, 'element': 217}], 'h': [{'value': 4, 'element': 417}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 224}, {'value': 2, 'element': 498}, {'value': 1, 'element': 239}], 'h': []}, {'identifier': 'bps', 'a': [{'value': 52, 'element': 224}, {'value': 38, 'element': 498}, {'value': 32, 'element': 239}, {'value': 29, 'element': 238}, {'value': 25, 'element': 225}, {'value': 21, 'element': 217}, {'value': 17, 'element': 228}, {'value': 15, 'element': 236}, {'value': 11, 'element': 518}, {'value': 8, 'element': 235}, {'value': 5, 'element': 229}, {'value': 4, 'element': 231}, {'value': 3, 'element': 221}], 'h': [{'value': 16, 'element': 417}, {'value': 12, 'element': 407}, {'value': 11, 'element': 409}, {'value': 11, 'element': 412}, {'value': 9, 'element': 481}, {'value': 8, 'element': 425}, {'value': 6, 'element': 422}, {'value': 4, 'element': 413}, {'value': 3, 'element': 408}, {'value': 3, 'element': 421}, {'value': 3, 'element': 426}, {'value': 3, 'element': 446}, {'value': 2, 'element': 419}, {'value': -3, 'element': 358}]}]",9,2,3.0,18,3,0.0
2128291,1.0,True,True,4,2020-09-13T15:30:00Z,90,False,58901,True,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 164}], 'h': []}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 155}], 'h': []}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [], 'h': [{'value': 1, 'element': 396}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 5, 'element': 157}], 'h': [{'value': 3, 'element': 383}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 155}, {'value': 2, 'element': 164}, {'value': 1, 'element': 157}], 'h': []}, {'identifier': 'bps', 'a': [{'value': 38, 'element': 155}, {'value': 34, 'element': 164}, {'value': 32, 'element': 157}, {'value': 29, 'element': 156}, {'value': 28, 'element': 152}, {'value': 27, 'element': 162}, {'value': 20, 'element': 512}, {'value': 17, 'element': 166}, {'value': 16, 'element': 502}, {'value': 16, 'element': 508}, {'value': 11, 'element': 158}, {'value': 4, 'element': 163}, {'value': 3, 'element': 150}, {'value': 2, 'element': 169}], 'h': [{'value': 15, 'element': 383}, {'value': 15, 'element': 395}, {'value': 13, 'element': 391}, {'value': 12, 'element': 386}, {'value': 10, 'element': 390}, {'value': 8, 'element': 396}, {'value': 8, 'element': 397}, {'value': 7, 'element': 388}, {'value': 6, 'element': 457}, {'value': 4, 'element': 385}, {'value': 3, 'element': 394}, {'value': 3, 'element': 405}, {'value': 2, 'element': 400}, {'value': -1, 'element': 392}]}]",7,4,1.0,17,2,0.0
2128295,1.0,True,True,8,2020-09-14T17:00:00Z,90,False,58905,True,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 460}, {'value': 1, 'element': 461}], 'h': []}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 469}, {'value': 1, 'element': 474}], 'h': []}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [{'value': 1, 'element': 505}], 'h': [{'value': 1, 'element': 353}, {'value': 1, 'element': 357}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 1, 'element': 455}], 'h': [{'value': 2, 'element': 483}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 461}, {'value': 2, 'element': 459}, {'value': 2, 'element': 460}], 'h': []}, {'identifier': 'bps', 'a': [{'value': 34, 'element': 461}, {'value': 29, 'element': 459}, {'value': 29, 'element': 460}, {'value': 25, 'element': 458}, {'value': 23, 'element': 455}, {'value': 23, 'element': 469}, {'value': 21, 'element': 505}, {'value': 18, 'element': 474}, {'value': 16, 'element': 454}, {'value': 11, 'element': 464}, {'value': 6, 'element': 465}, {'value': 4, 'element': 466}, {'value': 4, 'element': 515}, {'value': 2, 'element': 467}], 'h': [{'value': 15, 'element': 355}, {'value': 14, 'element': 345}, {'value': 13, 'element': 347}, {'value': 13, 'element': 349}, {'value': 13, 'element': 351}, {'value': 12, 'element': 483}, {'value': 10, 'element': 346}, {'value': 8, 'element': 354}, {'value': 7, 'element': 360}, {'value': 4, 'element': 353}, {'value': 3, 'element': 357}, {'value': 2, 'element': 344}, {'value': -4, 'element': 343}]}]",20,4,2.0,15,3,0.0
2128294,1.0,True,True,7,2020-09-14T19:15:00Z,90,False,58904,True,"[{'identifier': 'goals_scored', 'a': [{'value': 1, 'element': 105}, {'value': 1, 'element': 110}, {'value': 1, 'element': 123}], 'h': [{'value': 1, 'element': 69}]}, {'identifier': 'assists', 'a': [{'value': 1, 'element': 105}, {'value': 1, 'element': 117}, {'value': 1, 'element': 123}], 'h': [{'value': 1, 'element': 77}]}, {'identifier': 'own_goals', 'a': [], 'h': []}, {'identifier': 'penalties_saved', 'a': [], 'h': []}, {'identifier': 'penalties_missed', 'a': [], 'h': []}, {'identifier': 'yellow_cards', 'a': [], 'h': [{'value': 1, 'element': 77}]}, {'identifier': 'red_cards', 'a': [], 'h': []}, {'identifier': 'saves', 'a': [{'value': 2, 'element': 112}], 'h': [{'value': 2, 'element': 70}]}, {'identifier': 'bonus', 'a': [{'value': 3, 'element': 123}, {'value': 2, 'element': 105}], 'h': [{'value': 1, 'element': 69}]}, {'identifier': 'bps', 'a': [{'value': 44, 'element': 123}, {'value': 43, 'element': 105}, {'value': 25, 'element': 110}, {'value': 19, 'element': 113}, {'value': 14, 'element': 104}, {'value': 14, 'element': 116}, {'value': 12, 'element': 112}, {'value': 10, 'element': 117}, {'value': 9, 'element': 120}, {'value': 8, 'element': 500}, {'value': 3, 'element': 102}, {'value': 3, 'element': 122}, {'value': 2, 'element': 115}, {'value': 1, 'element': 106}], 'h': [{'value': 28, 'element': 69}, {'value': 22, 'element': 77}, {'value': 16, 'element': 62}, {'value': 16, 'element': 65}, {'value': 16, 'element': 74}, {'value': 14, 'element': 66}, {'value': 14, 'element': 79}, {'value': 13, 'element': 76}, {'value': 12, 'element': 70}, {'value': 6, 'element': 54}, {'value': 4, 'element': 57}, {'value': 3, 'element': 71}, {'value': 1, 'element': 68}, {'value': -3, 'element': 78}]}]",5,2,3.0,3,3,1.0
