assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
1,2,0,0,0.0,0,11829,59,22,0,0.0,398,0.0,1419,0,0,0,0,0,1,2006/07,65,0.0,45,1
0,0,0,0,0.0,0,11829,49,0,0,0.0,705,0.0,99,0,0,0,0,0,2,2007/08,55,0.0,5,0
0,0,0,0,0.0,0,11829,42,2,0,0.0,1353,0.0,18,0,0,0,0,0,3,2008/09,45,0.0,1,0
1,2,0,2,0.0,0,11829,41,18,0,0.0,3056,0.0,996,0,0,0,0,0,5,2010/11,45,0.0,34,0
7,7,0,9,0.0,223,11829,48,19,1,0.0,3684,0.0,1459,0,0,0,0,0,6,2011/12,50,0.0,81,2
7,10,0,7,0.0,411,11829,53,40,5,0.0,4444,0.0,2516,0,0,0,0,0,7,2012/13,50,0.0,126,0
4,3,106,7,0.0,397,11829,49,44,2,0.0,5134,0.0,2700,0,0,0,0,0,8,2013/14,55,0.0,95,2
1,1,233,10,0.0,310,11829,54,31,3,0.0,5876,0.0,2309,0,0,0,1,0,9,2014/15,55,0.0,81,1
1,1,214,4,0.0,269,11829,51,28,2,0.0,6562,0.0,1673,0,0,0,0,0,10,2015/16,55,0.0,59,3
2,2,228,5,428.5,0,11829,45,42,3,105.5,7263,273.2,1917,0,0,0,0,0,11,2016/17,50,355.0,74,1
