assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,starts,threat,total_points,yellow_cards
0,0,0,0,0.0,44683,42,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,2009/10,45,0,0.0,0,0
8,7,0,5,0.0,44683,52,0.00,0.00,0.00,0.00,39,6,0.0,0.0,2180,0,0,0,0,0,2012/13,55,0,0.0,108,4
3,24,162,10,0.0,44683,61,0.00,0.00,0.00,0.00,39,15,0.0,0.0,2565,0,0,0,0,0,2013/14,60,0,0.0,152,2
0,0,0,0,0.0,44683,73,0.00,0.00,0.00,0.00,0,0,0.0,0.0,0,0,0,0,0,0,2014/15,75,0,0.0,0,0
0,0,32,1,0.0,44683,64,0.00,0.00,0.00,0.00,6,0,0.0,0.0,351,0,0,0,0,0,2015/16,70,0,0.0,14,1
2,8,170,3,132.8,44683,59,0.00,0.00,0.00,0.00,15,5,89.4,255.2,893,0,0,0,0,0,2016/17,65,0,507.0,73,0
1,11,335,10,329.8,44683,54,0.00,0.00,0.00,0.00,41,7,171.1,460.4,2807,0,0,0,0,0,2017/18,60,0,931.0,109,2
2,9,282,7,135.0,44683,57,0.00,0.00,0.00,0.00,34,8,137.8,431.4,2002,0,0,0,0,0,2019/20,60,0,827.0,100,1
3,2,125,4,97.4,44683,57,0.00,0.00,0.00,0.00,25,1,68.9,149.8,1248,0,0,0,0,0,2020/21,60,0,449.0,54,3
3,4,159,6,166.0,44683,51,0.00,0.00,0.00,0.00,15,2,78.4,176.4,1365,0,0,0,0,0,2021/22,55,0,455.0,60,3
