assists,bonus,bps,clean_sheets,creativity,ea_index,element_code,end_cost,goals_conceded,goals_scored,ict_index,id,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season,season_name,start_cost,threat,total_points,yellow_cards
0,0,0,0,0.0,0,38290,75,0,0,0.0,1228,0.0,0,0,0,0,0,0,2,2007/08,75,0.0,0,0
0,0,0,0,0.0,0,38290,43,0,0,0.0,1857,0.0,0,0,0,0,0,0,3,2008/09,43,0.0,0,0
0,0,0,0,0.0,0,38290,45,0,1,0.0,2515,0.0,45,0,0,0,0,0,4,2009/10,45,0.0,6,0
2,2,0,1,0.0,0,38290,44,3,0,0.0,3159,0.0,351,0,0,0,0,0,5,2010/11,45,0.0,17,0
0,1,0,1,0.0,51,38290,48,2,0,0.0,3748,0.0,320,0,0,0,1,0,6,2011/12,50,0.0,11,1
1,0,0,8,0.0,262,38290,44,36,1,0.0,4462,0.0,2215,0,0,0,0,0,7,2012/13,45,0.0,62,6
4,7,80,7,0.0,316,38290,47,27,1,0.0,5155,0.0,1898,0,0,0,1,0,8,2013/14,50,0.0,67,4
5,10,520,6,0.0,406,38290,48,38,3,0.0,5567,0.0,2367,0,0,0,0,0,9,2014/15,50,0.0,103,7
7,12,536,8,0.0,346,38290,51,19,1,0.0,6274,0.0,2129,0,0,0,0,0,10,2015/16,55,0.0,109,7
3,6,357,8,371.5,0,38290,58,11,2,99.6,7017,387.4,1530,0,0,0,0,0,11,2016/17,60,237.0,84,8
2,0,136,2,181.6,0,38290,64,14,0,45.9,7694,159.4,800,0,0,0,0,0,12,2017/18,65,117.0,24,4
