assists,bonus,bps,clean_sheets,creativity,element_code,end_cost,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,season_name,start_cost,threat,total_points,yellow_cards
7,11,0,0,0.0,15157,59,37,3,0.0,0.0,2675,0,0,0,0,0,2006/07,65,0.0,114,3
2,14,0,0,0.0,15157,59,43,2,0.0,0.0,2227,0,0,0,0,0,2007/08,65,0.0,84,3
9,7,0,0,0.0,15157,61,36,3,0.0,0.0,3060,0,0,0,0,0,2008/09,60,0.0,128,6
12,35,0,0,0.0,15157,87,37,7,0.0,0.0,3172,1,1,0,0,0,2009/10,70,0.0,184,5
7,10,0,11,0.0,15157,81,24,1,0.0,0.0,2134,0,0,0,0,0,2010/11,90,0.0,97,4
5,10,0,6,0.0,15157,68,17,3,0.0,0.0,1586,0,0,0,0,0,2011/12,75,0.0,86,3
4,14,0,11,0.0,15157,61,14,4,0.0,0.0,1724,0,0,0,1,0,2012/13,65,0.0,96,1
6,0,73,5,0.0,15157,54,19,1,0.0,0.0,1373,0,0,0,0,0,2013/14,60,0.0,67,3
8,8,393,7,0.0,15157,54,19,5,0.0,0.0,1749,0,0,0,0,0,2014/15,55,0.0,107,6
11,13,520,8,0.0,15157,66,35,5,0.0,0.0,2409,0,0,0,1,0,2015/16,70,0.0,123,9
4,16,682,12,937.0,15157,63,35,7,235.2,919.0,3154,0,1,0,0,0,2016/17,65,493.0,139,5
3,4,459,6,615.5,15157,60,25,0,132.5,437.2,1759,0,0,0,0,0,2017/18,65,272.0,77,3
5,12,448,9,725.2,15157,56,13,5,169.2,587.2,1778,0,0,0,1,0,2018/19,55,374.0,101,5
