date,deep,deep_allowed,draws,h_a,loses,missed,npxG,npxGA,npxGD,ppda,ppda_allowed,pts,result,scored,wins,xG,xGA,xpts
2019-08-10 12:30:00,1,9,0,h,1,5,1.2003,2.42264,-1.22234,"{'att': 328, 'def': 20}","{'att': 215, 'def': 31}",0,l,0,0,1.2003,3.18377,0.2522
2019-08-17 15:00:00,4,8,1,a,0,1,1.00856,2.40461,-1.39605,"{'att': 275, 'def': 31}","{'att': 192, 'def': 35}",1,d,1,0,1.00856,2.40461,0.4871
2019-08-24 15:00:00,10,20,0,a,0,1,2.69651,2.29348,0.4030299999999998,"{'att': 246, 'def': 19}","{'att': 195, 'def': 21}",3,w,3,1,3.45768,2.29348,2.1833
2019-08-31 15:00:00,12,5,0,h,0,0,2.20657,1.1674,1.0391700000000001,"{'att': 298, 'def': 38}","{'att': 236, 'def': 27}",3,w,2,1,2.20657,1.1674,2.1159000000000003
2019-09-16 19:00:00,9,4,1,a,0,0,0.535279,1.40502,-0.869741,"{'att': 222, 'def': 22}","{'att': 213, 'def': 22}",1,d,0,0,0.535279,1.40502,0.5889
2019-09-22 13:00:00,4,5,0,h,0,0,0.51376,1.27826,-0.7645,"{'att': 284, 'def': 19}","{'att': 189, 'def': 11}",3,w,2,1,0.51376,1.27826,0.6305
2019-09-28 14:00:00,17,8,1,a,0,2,1.29546,2.31957,-1.02411,"{'att': 262, 'def': 20}","{'att': 225, 'def': 20}",1,d,2,0,1.29546,2.31957,0.7235
2019-10-05 17:30:00,7,7,0,h,1,2,1.23577,1.30703,-0.07125999999999988,"{'att': 281, 'def': 19}","{'att': 281, 'def': 14}",0,l,1,0,1.23577,2.0682,0.6572
2019-10-19 12:30:00,3,11,0,a,1,2,0.459112,2.23324,-1.774128,"{'att': 191, 'def': 19}","{'att': 183, 'def': 32}",0,l,0,0,0.459112,2.23324,0.25370000000000004
2019-10-26 15:00:00,9,7,1,h,0,1,2.33891,1.16171,1.1771999999999998,"{'att': 162, 'def': 16}","{'att': 303, 'def': 21}",1,d,1,0,2.33891,1.16171,2.3030000000000004
