first_name,second_name,id
Shkodran,Mustafi,1
Héctor,Bellerín,2
Sead,Kolasinac,3
Ainsley,Maitland-Niles,4
Sokratis,Papastathopoulos,5
Nacho,Monreal,6
Laurent,Koscielny,7
Konstantinos,Mavropanos,8
Carl,Jenkinson,9
Rob,Holding,10
Pierre-Emerick,Aubameyang,11
Alexandre,Lacazette,12
Edward,Nketiah,13
Bernd,Leno,14
Mesut,Özil,15
Henrikh,Mkhitaryan,16
Granit,Xhaka,18
Lucas,Torreira,19
Mohamed,Elneny,20
Matteo,Guendouzi,21
David,Luiz Moreira Marinho,106
Emiliano,Martínez,427
Calum,Chambers,467
Daniel,Ceballos Fernández,469
Cédric,Soares,486
Nicolas,Pépé,488
Reiss,Nelson,489
Joseph,Willock,490
Gabriel Teodoro,Martinelli Silva,504
Kieran,Tierney,515
Bukayo,Saka,541
Emile,Smith Rowe,576
Tyreece,John-Jules,585
Pablo,Marí,617
Zech,Medley,636
Matt,Macey,646
Matthew,Smith,647
Ahmed,El Mohamady,22
James,Chester,23
Neil,Taylor,24
Kortney,Hause,25
Jonathan,Kodjia,26
Ørjan,Nyland,27
Conor,Hourihane,28
Jack,Grealish,29
Anwar,El Ghazi,30
John,McGinn,31
Andre,Green,32
Birkir,Bjarnason,33
Keinan,Davis,34
Henri,Lansbury,35
José Ignacio,Peleteiro Romallo,36
Tom,Heaton,94
Daniel,Drinkwater,120
Matt,Targett,309
Wesley,Moraes,428
Jed,Steer,429
Tyrone,Mings,445
Ezri,Konsa Ngoyo,452
Bjorn,Engels,455
Frédéric,Guilbert,458
Mahmoud Ahmed,Ibrahim Hassan,465
Douglas Luiz,Soares de Paulo,470
Lovre,Kalinic,474
Marvelous,Nakamba,491
Indiana,Vassilev,600
José,Reina,603
Mbwana,Samatta,613
Borja,González Tomás,623
Kaine,Hayden,659
Steve,Cook,58
Nathan,Aké,59
Charlie,Daniels,60
Chris,Mepham,61
Simon,Francis,62
Adam,Smith,63
Lloyd,Kelly,64
Diego,Rico,65
Jack,Simpson,66
Callum,Wilson,67
Joshua,King,68
Dominic,Solanke,69
Sam,Surridge,71
Asmir,Begovic,72
Artur,Boruc,73
Mark,Travers,74
Ryan,Fraser,75
David,Brooks,76
Junior,Stanislas,77
Jordon,Ibe,78
Lewis,Cook,79
Andrew,Surman,80
Dan,Gosling,81
Jefferson,Lerma,82
Jack,Stacey,446
Philip,Billing,476
Arnaut,Danjuma Groeneveld,492
Aaron,Ramsdale,494
Harry,Wilson,505
Christian,Saydee,564
Gavin,Kilkenny,565
Mihai-Alexandru,Dobre,574
Shane,Duffy,37
Martín,Montoya,38
Bernardo,Fernandes da Silva Junior,39
Leon,Balogun,40
Gaëtan,Bong,41
Lewis,Dunk,42
Matthew,Clarke,43
Glenn,Murray,44
Jürgen,Locadia,45
Florin,Andone,46
Mathew,Ryan,47
David,Button,48
Pascal,Groß,49
Alireza,Jahanbakhsh,50
José Heriberto,Izquierdo Mena,51
Anthony,Knockaert,52
Yves,Bissouma,53
Davy,Pröpper,54
Solomon,March,55
Beram,Kayal,56
Dale,Stephens,57
Leandro,Trossard,421
Dan,Burn,475
Adam,Webster,493
Neal,Maupay,502
Aaron,Mooy,516
Aaron,Connolly,534
Tudor,Baluta,536
Steven,Alzate,537
Ezequiel,Schelotto,546
Tariq,Lamptey,586
Alexis,Mac Allister,627
Alex,Cochrane,666
Ben,Mee,83
James,Tarkowski,84
Matthew,Lowton,85
Phil,Bardsley,86
Charlie,Taylor,87
Kevin,Long,88
Ben,Gibson,89
Ashley,Barnes,90
Chris,Wood,91
Matej,Vydra,92
Nick,Pope,93
Joe,Hart,95
Johann Berg,Gudmundsson,96
Dwight,McNeil,97
Robbie,Brady,98
Steven,Defour,99
Jeff,Hendrick,100
Ashley,Westwood,101
Jack,Cork,102
Aaron,Lennon,430
Erik,Pieters,447
Jay,Rodriguez,451
Bailey,Peacock-Farrell,495
Mace,Goodridge,571
Anthony,Driscoll-Glennon,572
Abd-Al-Ali Morakinyo Olaposi,Koiki,596
Josh,Brownhill,620
Jimmy,Dunne,638
Bobby,Thomas,639
Max,Thompson,640
Lukas,Jensen,641
Josh,Benson,653
Joel,Mumbongo,665
Marcos,Alonso,103
Antonio,Rüdiger,104
César,Azpilicueta,105
Emerson,Palmieri dos Santos,107
Andreas,Christensen,108
