date,deep,deep_allowed,draws,h_a,loses,missed,npxG,npxGA,npxGD,ppda,ppda_allowed,pts,result,scored,wins,xG,xGA,xpts
2019-08-10 12:30:00,9,1,0,a,0,0,2.42264,1.2003,1.22234,"{'att': 215, 'def': 31}","{'att': 328, 'def': 20}",3,w,5,1,3.18377,1.2003,2.6311999999999998
2019-08-17 17:30:00,10,2,1,h,0,2,3.20076,0.074542,3.1262179999999997,"{'att': 386, 'def': 43}","{'att': 330, 'def': 7}",1,d,2,0,3.20076,0.074542,2.9323
2019-08-25 14:00:00,17,3,0,a,0,1,3.12856,1.89345,1.2351099999999997,"{'att': 119, 'def': 23}","{'att': 458, 'def': 20}",3,w,3,1,3.12856,1.89345,2.1653000000000002
2019-08-31 15:00:00,16,7,0,h,0,0,2.30818,0.861035,1.4471450000000001,"{'att': 366, 'def': 32}","{'att': 346, 'def': 16}",3,w,4,1,2.30818,0.861035,2.3849
2019-09-14 16:30:00,14,6,0,a,1,3,2.34436,1.7413,0.6030599999999999,"{'att': 191, 'def': 24}","{'att': 258, 'def': 14}",0,l,2,0,2.34436,1.7413,1.7614999999999998
2019-09-21 14:00:00,13,1,0,h,0,0,5.86932,0.344718,5.524602,"{'att': 238, 'def': 21}","{'att': 430, 'def': 12}",3,w,8,1,6.63049,0.344718,2.9992
2019-09-28 16:30:00,13,6,0,a,0,1,3.1082,2.35854,0.74966,"{'att': 204, 'def': 21}","{'att': 392, 'def': 12}",3,w,3,1,3.1082,2.35854,1.8485999999999998
2019-10-06 14:00:00,13,1,0,h,1,2,1.61884,1.18825,0.43059000000000003,"{'att': 107, 'def': 26}","{'att': 315, 'def': 16}",0,l,0,0,1.61884,1.18825,1.6896
2019-10-19 17:30:00,21,5,0,a,0,0,4.02104,0.616864,3.404176,"{'att': 128, 'def': 19}","{'att': 353, 'def': 19}",3,w,2,1,4.02104,0.616864,2.9204
2019-10-26 12:30:00,18,3,0,h,0,0,3.19004,0.980145,2.2098950000000004,"{'att': 194, 'def': 24}","{'att': 267, 'def': 10}",3,w,3,1,3.19004,0.980145,2.6551
