id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
755,Jamie Vardy,17,1530,16,10.982013441622257,3,1.7852887529879808,46,11,2,0,F,Leicester,13,8.69850691407919,10.544810079038143,0.439627755433321
318,Pierre-Emerick Aubameyang,17,1530,11,7.878863632678986,1,2.5297081992030144,43,14,2,0,F M,Arsenal,10,7.117731660604477,9.626367218792439,2.2278104051947594
702,Tammy Abraham,16,1254,11,9.233417078852654,3,2.5629671663045883,51,16,2,0,F S,Chelsea,11,9.233417078852654,11.51034041494131,0.5938443597406149
556,Marcus Rashford,17,1495,10,11.602882221341133,4,3.1171436812728643,57,21,2,0,F M,Manchester United,6,7.035905938595533,10.083414135500789,2.7172160390764475
618,Raheem Sterling,16,1411,9,9.517962209880352,1,4.750906877219677,51,28,4,0,F M,Manchester City,9,9.517962209880352,18.32690989971161,5.538517318665981
619,Sergio Agüero,12,811,9,8.482087880373001,2,2.180391475558281,42,13,0,0,F S,Manchester City,7,6.959787100553513,9.505710430443287,1.898232956416905
647,Harry Kane,16,1437,9,6.184493236243725,2,1.5622097589075565,46,14,2,0,F,Tottenham,8,5.423324398696423,8.693503415212035,2.320541993714869
838,Sadio Mané,16,1332,9,6.828217342495918,5,4.123321946710348,38,31,1,0,F M S,Liverpool,9,6.828217342495918,11.678751945495605,2.2512117326259613
986,Danny Ings,17,1190,9,6.4229317512363195,1,1.302828018553555,37,15,1,0,F M S,Southampton,9,6.4229317512363195,6.741113033145666,1.5705211702734232
1250,Mohamed Salah,14,1207,9,9.213427625596523,4,2.214054524898529,54,22,0,0,F,Liverpool,7,7.691089890897274,12.242994718253613,3.9486763700842857
7696,Teemu Pukki,17,1522,9,5.8901591040194035,3,3.1996265444904566,46,21,2,0,F,Norwich,9,5.8901591040194035,9.598712146282196,0.9323889892548323
447,Kevin De Bruyne,16,1330,7,4.03998214378953,9,9.462987579405308,49,60,1,0,M S,Manchester City,7,4.03998214378953,20.30550068616867,11.287046447396278
3621,Neal Maupay,17,1259,7,7.6375930570065975,0,0.9571135863661766,51,10,1,0,F S,Brighton,6,6.876424238085747,6.774759970605373,1.2373932972550392
4456,Chris Wood,15,1236,7,9.608504846692085,0,0.3518252894282341,31,8,1,0,F,Burnley,7,9.608504846692085,7.959875138476491,1.947553333826363
4105,Raúl Jiménez,17,1486,6,5.8994391188025475,5,4.908503770828247,53,29,2,0,F,Wolverhampton Wanderers,4,4.377101413905621,9.533664546906948,2.5028598234057426
4422,Ashley Barnes,15,1174,6,6.434941923245788,0,0.2848343923687935,37,4,3,0,F S,Burnley,5,5.673773070797324,4.954995075240731,1.5740792136639357
5596,Harry Wilson,14,904,6,2.037777273915708,0,1.276808261871338,28,8,1,0,F M S,Bournemouth,6,2.037777273915708,4.059863623231649,2.5704953093081713
6026,Richarlison,17,1471,6,4.775721533223987,2,2.164786411449313,42,16,4,0,F M,Everton,6,4.775721533223987,7.46666862629354,3.272663988173008
453,Son Heung-Min,15,1248,5,3.8445843076333404,7,4.2464673556387424,41,25,0,1,F M S,Tottenham,5,3.8445843076333404,10.193115126341581,3.8404096253216267
468,Callum Wilson,16,1389,5,4.855157684534788,0,1.5572398882359266,22,18,3,0,F,Bournemouth,5,4.855157684534788,5.214358825236559,1.3142429292201996
645,Dele Alli,10,810,5,2.7649835254997015,3,2.016616865992546,16,13,1,0,M S,Tottenham,5,2.7649835254997015,8.450380198657513,3.7528892485424876
769,Jonjo Shelvey,11,853,5,0.9520465368404984,0,1.4143360927700996,20,18,1,0,M S,Newcastle United,5,0.9520465368404984,2.1495265439152718,1.2809926085174084
1748,Lys Mousset,14,663,5,2.7536905612796545,3,2.0794466603547335,19,8,0,0,F S,Sheffield United,5,2.7536905612796545,4.557014491409063,0.7447989024221897
2662,Christian Pulisic,14,993,5,5.8112678080797195,2,2.227000940591097,34,18,0,0,F M S,Chelsea,5,5.8112678080797195,9.663394093513489,3.948462137952447
3277,Alexandre Lacazette,10,666,5,3.0955668315291405,1,1.1651762872934341,26,11,2,0,F S,Arsenal,5,3.0955668315291405,3.6741606555879116,0.9069609828293324
3635,Bernardo Silva,15,933,5,4.914681814610958,4,3.633274409919977,29,22,4,0,F M S,Manchester City,5,4.914681814610958,13.312129244208336,7.5285158678889275
5543,Gabriel Jesus,14,816,5,7.565121080726385,2,0.5011607520282269,40,8,1,0,F S,Manchester City,5,7.565121080726385,11.064984556287527,3.3258940018713474
5555,Dominic Calvert-Lewin,15,866,5,5.146272070705891,0,0.19310178980231285,24,4,2,0,F S,Everton,5,5.146272070705891,6.656128875911236,1.597769709303975
6144,Sébastien Haller,16,1270,5,5.359494294971228,1,0.8365805614739656,34,12,1,0,F S,West Ham,5,5.359494294971228,5.640501271933317,1.128176987171173
6818,James Maddison,16,1421,5,3.5372129641473293,3,3.087107999250293,44,43,1,0,M,Leicester,5,3.5372129641473293,9.691992446780205,5.6319609470665455
7768,Mason Mount,17,1422,5,4.557561598718166,1,1.9484684001654387,46,26,2,0,F M S,Chelsea,5,4.557561598718166,9.696823082864285,4.94833349250257
482,Roberto Firmino,17,1376,4,6.6784810200333595,4,4.185465283691883,50,21,0,0,F M S,Liverpool,4,6.6784810200333595,12.247018866240978,3.5154699720442295
553,Anthony Martial,11,870,4,4.811485014855862,3,1.2188991717994213,27,9,1,0,F S,Manchester United,4,4.050316296517849,6.618645183742046,2.4858321473002434
672,Jordan Ayew,16,1334,4,3.997133120894432,0,0.5050072409212589,26,8,3,0,F,Crystal Palace,4,3.997133120894432,5.374737750738859,1.7624423876404762
675,Jack Grealish,15,1345,4,4.502521187067032,4,3.25385320559144,32,38,4,0,F M,Aston Villa,4,3.7413523346185684,11.030567791312933,6.167292892932892
750,Riyad Mahrez,13,668,4,2.3642965219914913,4,4.366404013708234,24,23,0,0,F M S,Manchester City,4,2.3642965219914913,11.386491976678371,5.8967213816940784
770,Ayoze Pérez,14,902,4,3.306646566838026,1,0.9272204115986824,22,9,0,0,F M S,Leicester,4,3.306646566838026,4.839525915682316,1.3906035982072353
843,James Ward-Prowse,17,1530,4,4.46754614263773,1,2.4092540331184864,30,25,2,0,M,Southampton,3,2.9452084079384804,6.882225592620671,4.902082184329629
3293,Lucas Moura,15,723,4,3.352367091923952,1,0.8560910858213902,22,12,0,0,F M S,Tottenham,4,3.352367091923952,5.375889241695404,1.5395134948194027
7695,Todd Cantwell,17,1212,4,4.186725556850433,2,1.4439986944198608,22,22,2,0,M S,Norwich,4,4.186725556850433,6.88529859483242,1.5392004512250423
7709,John Fleck,15,1288,4,2.2526072720065713,1,1.930114883929491,18,25,5,0,M,Sheffield United,4,2.2526072720065713,6.469385063275695,3.0424804324284196
7724,Wesley,17,1463,4,6.09780715405941,1,0.7966108191758394,28,9,2,0,F,Aston Villa,4,5.336638197302818,6.756844023242593,2.5834903893992305
465,Joshua King,13,1086,3,3.6528904512524605,2,1.7616580352187157,15,17,0,0,F M S,Bournemouth,2,2.8917215913534164,4.389760460704565,1.7832564059644938
484,Divock Origi,13,358,3,1.760830918326974,1,0.6890227384865284,9,5,0,0,F S,Liverpool,3,1.760830918326974,2.9685175623744726,0.7383813448250294
522,Wilfried Zaha,17,1462,3,2.0150153301656246,1,1.5098772114142776,28,17,3,0,F M S,Crystal Palace,3,2.0150153301656246,5.030992988497019,2.0830868259072304
534,Aaron Cresswell,12,1042,3,0.7285790294408798,0,0.16611933149397373,11,3,4,0,D,West Ham,3,0.7285790294408798,2.9520204216241837,2.419569030404091
751,N&#039;Golo Kanté,10,760,3,1.1569828279316425,0,1.0308481492102146,9,15,1,0,M S,Chelsea,3,1.1569828279316425,4.205907665193081,2.5257245237007737
833,Virgil van Dijk,17,1530,3,0.5903181843459606,0,0.3510270155966282,13,2,1,0,D,Liverpool,3,0.5903181843459606,5.912848083302379,5.888369172811508
900,Adama Traoré,16,1283,3,1.3368436433374882,3,2.4615470860153437,16,18,0,0,F M S,Wolverhampton Wanderers,3,1.3368436433374882,5.0774563401937485,2.3685004552826285
5595,Daniel James,17,1436,3,2.5401552841067314,5,3.2026695255190134,28,21,3,0,F M S,Manchester United,3,2.5401552841067314,8.323710266500711,4.3650358989834785
5612,Anwar El Ghazi,15,1038,3,3.9100499358028173,4,1.9781649988144636,30,19,1,0,F M S,Aston Villa,3,3.9100499358028173,5.464798241853714,1.2875142060220242
5956,Youri Tielemans,17,1508,3,1.8068460524082184,3,2.635098148137331,34,26,0,0,M,Leicester,3,1.8068460524082184,8.843812007457018,5.661222948692739
6274,Andriy Yarmolenko,15,835,3,1.9291945435106754,1,3.331640252843499,20,15,2,0,M S,West Ham,3,1.9291945435106754,5.664749391376972,1.3797560781240463
6854,Diogo Jota,15,1148,3,5.492045547813177,0,0.9013215731829405,39,15,3,0,F S,Wolverhampton Wanderers,3,5.492045547813177,7.291006088256836,1.9819978922605515
7708,John Lundstram,17,1502,3,3.7911682408303022,2,2.6865134313702583,26,16,4,0,M,Sheffield United,3,3.7911682408303022,8.022314919158816,3.493170138448477
7722,Trézéguet,15,888,3,2.776026278734207,1,0.40564956702291965,27,8,2,1,F M S,Aston Villa,3,2.776026278734207,3.7536025922745466,1.7194319181144238
7723,John McGinn,17,1530,3,2.846284771338105,2,2.073997773230076,38,27,2,0,M,Aston Villa,3,2.846284771338105,7.687024682760239,4.373334985226393
528,Angelo Ogbonna,13,1170,2,0.4790820414200425,0,0.051137376576662064,6,1,2,0,D,West Ham,2,0.4790820414200425,1.2946085073053837,1.2434711270034313
591,Gerard Deulofeu,17,1221,2,3.40923772752285,2,2.9955253526568413,36,26,3,0,F M S,Watford,1,2.6480688638985157,6.83744229003787,2.43683322891593
611,Nicolás Otamendi,11,816,2,1.8410933390259743,0,0.0514519764110446,11,2,2,0,D S,Manchester City,2,1.8410933390259743,6.232121147215366,6.194644369184971
617,David Silva,15,1028,2,3.7724567726254463,6,3.65928840264678,25,25,0,0,M S,Manchester City,2,3.7724567726254463,12.2497089356184,6.122314065694809
