date,deep,deep_allowed,draws,h_a,loses,missed,npxG,npxGA,npxGD,ppda,ppda_allowed,pts,result,scored,wins,xG,xGA,xpts
2019-08-10 17:30:00,2,15,0,a,1,3,0.639599,2.57262,-1.933021,"{'att': 255, 'def': 19}","{'att': 147, 'def': 28}",0,l,1,0,0.639599,2.57262,0.2794
2019-08-17 15:00:00,12,9,0,h,1,2,1.65069,0.866605,0.784085,"{'att': 117, 'def': 9}","{'att': 268, 'def': 25}",0,l,1,0,1.65069,1.62777,1.3698
2019-08-23 20:00:00,6,12,0,h,0,0,0.855926,1.25668,-0.40075400000000005,"{'att': 265, 'def': 20}","{'att': 146, 'def': 27}",3,w,2,1,0.855926,1.25668,0.9697
2019-08-31 15:00:00,5,13,0,a,1,1,0.30354,1.41394,-1.1104,"{'att': 226, 'def': 25}","{'att': 216, 'def': 24}",0,l,0,0,0.30354,1.41394,0.4799
2019-09-16 19:00:00,4,9,1,h,0,0,1.40502,0.535279,0.869741,"{'att': 213, 'def': 22}","{'att': 222, 'def': 22}",1,d,0,0,1.40502,0.535279,2.1614999999999998
2019-09-22 15:30:00,8,12,0,a,1,3,1.71546,1.77093,-0.05546999999999991,"{'att': 242, 'def': 22}","{'att': 182, 'def': 20}",0,l,2,0,1.71546,2.53209,0.8444
2019-09-28 14:00:00,3,2,1,h,0,2,0.914266,1.66919,-0.7549239999999999,"{'att': 121, 'def': 20}","{'att': 199, 'def': 22}",1,d,2,0,0.914266,1.66919,0.7663
2019-10-05 15:00:00,9,13,0,a,0,1,2.76412,1.84838,0.9157400000000002,"{'att': 220, 'def': 25}","{'att': 145, 'def': 24}",3,w,5,1,3.67827,1.84838,2.472
2019-10-19 15:00:00,7,10,0,h,0,1,2.96692,1.32184,1.64508,"{'att': 271, 'def': 18}","{'att': 200, 'def': 21}",3,w,2,1,2.96692,1.32184,2.4098
2019-10-26 12:30:00,3,18,0,a,1,3,0.980145,3.19004,-2.2098950000000004,"{'att': 267, 'def': 10}","{'att': 194, 'def': 24}",0,l,0,0,0.980145,3.19004,0.2449
2019-11-02 15:00:00,2,16,0,h,1,2,0.741615,2.38824,-1.6466250000000002,"{'att': 293, 'def': 14}","{'att': 88, 'def': 20}",0,l,1,0,0.741615,2.38824,0.3756
2019-11-10 14:00:00,0,8,0,a,1,2,0.473225,2.09891,-1.625685,"{'att': 189, 'def': 30}","{'att': 211, 'def': 32}",0,l,1,0,0.473225,2.09891,0.31610000000000005
2019-11-25 20:00:00,14,3,0,h,0,0,2.6985,0.69784,2.00066,"{'att': 154, 'def': 21}","{'att': 264, 'def': 15}",3,w,2,1,2.6985,0.69784,2.6628
2019-12-01 16:30:00,3,13,1,a,0,2,1.29701,1.84804,-0.5510299999999999,"{'att': 276, 'def': 23}","{'att': 153, 'def': 23}",1,d,2,0,1.29701,1.84804,0.9371999999999999
2019-12-04 19:30:00,2,14,0,a,1,2,0.86086,1.9774,-1.11654,"{'att': 389, 'def': 28}","{'att': 181, 'def': 26}",0,l,1,0,0.86086,1.9774,0.6134
2019-12-08 14:00:00,12,17,0,h,1,4,1.24141,4.03286,-2.79145,"{'att': 234, 'def': 27}","{'att': 116, 'def': 27}",0,l,1,0,1.24141,4.03286,0.1341
2019-12-14 15:00:00,1,13,0,a,1,2,0.211411,1.888,-1.6765889999999999,"{'att': 217, 'def': 20}","{'att': 192, 'def': 24}",0,l,0,0,0.97258,1.888,0.591
2019-12-21 15:00:00,6,5,0,h,1,3,0.921054,2.63444,-1.713386,"{'att': 167, 'def': 16}","{'att': 216, 'def': 18}",0,l,1,0,0.921054,2.63444,0.3435
2019-12-26 15:00:00,4,3,0,h,0,0,0.654194,1.45005,-0.795856,"{'att': 265, 'def': 23}","{'att': 166, 'def': 18}",3,w,1,1,0.654194,1.45005,0.7351000000000001
2019-12-28 15:00:00,6,8,0,a,1,3,0.610997,2.49197,-1.8809729999999998,"{'att': 208, 'def': 13}","{'att': 219, 'def': 25}",0,l,0,0,0.610997,3.25314,0.1056
2020-01-01 12:30:00,5,7,0,a,0,1,1.58238,2.32566,-0.7432800000000002,"{'att': 261, 'def': 10}","{'att': 144, 'def': 18}",3,w,2,1,1.58238,2.32566,0.8502000000000001
2020-01-12 16:30:00,1,21,0,h,1,6,0.345329,3.39105,-3.045721,"{'att': 534, 'def': 16}","{'att': 224, 'def': 26}",0,l,1,0,1.1065,3.39105,0.2116
2020-01-18 15:00:00,4,7,1,a,0,1,0.56107,1.20493,-0.6438600000000001,"{'att': 290, 'def': 30}","{'att': 205, 'def': 29}",1,d,1,0,0.56107,1.20493,0.7624
2020-01-21 19:30:00,6,1,0,h,0,1,1.04009,1.84424,-0.8041500000000001,"{'att': 145, 'def': 21}","{'att': 304, 'def': 29}",3,w,2,1,1.04009,1.84424,0.6959
2020-02-01 15:00:00,7,8,0,a,1,2,1.41635,2.72638,-1.3100299999999998,"{'att': 108, 'def': 14}","{'att': 220, 'def': 22}",0,l,1,0,1.41635,2.72638,0.557
